,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Questionable
280,"TRASH, DUMP FROM MV +7 CU FT c270 §16",9,2,"TRASH, DUMP FROM MV +7 CU FT",270,16,yes,280,not in the list of non-expungable offenses.,,n
281,GAMING IN PUBLIC/TRESPASSING c271 §2,0,4,GAMING IN PUBLIC/TRESPASSING,271,2,yes,280,not in the list of non-expungable offenses.,,n
282,"GAMING HOUSE, KEEP COMMON c271 §5",0,5,"GAMING HOUSE, KEEP COMMON",271,5,yes,280,not in the list of non-expungable offenses.,,n
283,"LOTTERY, SET UP/PROMOTE c271 §7",0,5,"LOTTERY, SET UP/PROMOTE",271,7,yes,280,not in the list of non-expungable offenses.,,n
284,"LOTTERY, SET UP/PROMOTE, SUBSQ.OFF. c271 §7",0,1,"LOTTERY, SET UP/PROMOTE, SUBSQ.OFF.",271,7,yes,280,not in the list of non-expungable offenses.,,n
285,RAFFLE/BAZAAR VIOLATION c271 §7A,0,1,RAFFLE/BAZAAR VIOLATION,271,7A,yes,280,not in the list of non-expungable offenses.,,n
286,"GAMING ENTERPRISE, MANAGE c271 §16A",0,3,"GAMING ENTERPRISE, MANAGE",271,16A,yes,280,not in the list of non-expungable offenses.,,n
287,"BETTING, TAKE/ALLOW/PRESENT AT c271 §17",0,9,"BETTING, TAKE/ALLOW/PRESENT AT",271,17,yes,280,not in the list of non-expungable offenses.,,n
288,"BETTING, TAKE/ALLOW/PRESENT AT,SUBSQ.OFF c271 §17",0,1,"BETTING, TAKE/ALLOW/PRESENT AT,SUBSQ.OFF",271,17,yes,280,not in the list of non-expungable offenses.,,n
289,USURY c271 §49(a) or (b),0,14,USURY,271,49(a) or (b),yes,280,not in the list of non-expungable offenses.,,n
290,"MARRIAGE, ABDUCT PERSON -16 FOR SECRET c. 272 s. 1",0,2,"MARRIAGE, ABDUCT PERSON -16 FOR SECRET",272,1,yes,290,not in the list of non-expungable offenses.,,y
291,"PROSTITUTION, MAINTAIN HOUSE OF c272 §6",0,11,"PROSTITUTION, MAINTAIN HOUSE OF",272,6,yes,291,not in the list of non-expungable offenses.,,n
292,"PROSTITUTION, KEEP HOUSE OF c272 §24",11,16,"PROSTITUTION, KEEP HOUSE OF",272,24,yes,292,not in the list of non-expungable offenses.,,n
293,"RELIGIOUS SERVICE, DISTURB c272 §38",0,1,"RELIGIOUS SERVICE, DISTURB",272,38,yes,292,not in the list of non-expungable offenses.,,n
294,"FUNERAL PROCESSION, DISTURB c272 §42",0,6,"FUNERAL PROCESSION, DISTURB",272,42,yes,292,not in the list of non-expungable offenses.,,n
295,"FUNERAL SERVICE, DISTURB c272 §42A",0,1,"FUNERAL SERVICE, DISTURB",272,42A,yes,292,not in the list of non-expungable offenses.,,n
296,SEXUAL CONDUCT FOR FEE c272 §53A,14,404,SEXUAL CONDUCT FOR FEE,272,53A,yes,292,not in the list of non-expungable offenses.,,n
297,"SEXUAL CONDUCT, PAY FOR c272 §53A",1,168,"SEXUAL CONDUCT, PAY FOR",272,53A,yes,292,not in the list of non-expungable offenses.,,n
298,"SEXUAL CONDUCT, PAY FOR OR FOR FEE c. 272 s. 53A",0,2,"SEXUAL CONDUCT, PAY FOR OR FOR FEE",272,53A,yes,292,not in the list of non-expungable offenses.,,n
299,"TRAMP, THREATS BY c272 §64",0,1,"TRAMP, THREATS BY",272,64,yes,292,not in the list of non-expungable offenses.,,n
300,"GRAVESTONE, VANDALIZE c272 §73",1,3,"GRAVESTONE, VANDALIZE",272,73,yes,292,not in the list of non-expungable offenses.,,n
301,"GRAVE PLANTING, VANDALIZE c272 §73",1,1,"GRAVE PLANTING, VANDALIZE",272,73,yes,292,not in the list of non-expungable offenses.,,n
302,"GRAVE, DISTURB c272 §73",0,2,"GRAVE, DISTURB",272,73,yes,292,not in the list of non-expungable offenses.,,n
303,"CEMETERY, VANDALIZE c272 §74",1,0,"CEMETERY, VANDALIZE",272,74,yes,292,not in the list of non-expungable offenses.,,n
304,"GRAVE FLOWERS/FLAG/TOKEN, REMOVE c272 §75",3,0,"GRAVE FLOWERS/FLAG/TOKEN, REMOVE",272,75,yes,292,not in the list of non-expungable offenses.,,n
305,"PHOTOGRAPH, UNSUSPECTING NUDE PERSON c272 §104/B",0,32,"PHOTOGRAPH, UNSUSPECTING NUDE PERSON",272,104/B,yes,305,similar to 1646 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
306,"PHOTOGRAPH, SECRETLY NUDE PERSON c272 §105",0,12,"PHOTOGRAPH, SECRETLY NUDE PERSON",272,105,yes,305,1646 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
307,"PHOTO, VIDEO, ELEC SURVEIL SECRETLY INITIMATE PART c272 §105",0,11,"PHOTO, VIDEO, ELEC SURVEIL SECRETLY INITIMATE PART",272,105,yes,305,1646 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
308,"WIRETAP, UNLAWFUL c272 §99(C)(1)",11,19,"WIRETAP, UNLAWFUL",272,99(C)(1),yes,292,not in the list of non-expungable offenses.,,n
309,"WIRETAP, UNLAWFUL, ATTEMPT c272 §99(C)(1)",1,1,"WIRETAP, UNLAWFUL, ATTEMPT",272,99(C)(1),yes,292,not in the list of non-expungable offenses.,,n
310,"WIRETAP, POSSESS DEVICE FOR c272 §99(C)(5)",3,3,"WIRETAP, POSSESS DEVICE FOR",272,99(C)(5),yes,292,not in the list of non-expungable offenses.,,n
311,"WIRETAP, DISCLOSE CONTENTS OF c272 §99(C)(3) or (4)",2,0,"WIRETAP, DISCLOSE CONTENTS OF",272,99(C)(3) or (4),yes,292,not in the list of non-expungable offenses.,,n
312,ATTEMPT TO COMMIT CRIME c. 274 s. 6 - Larceny,0,5,ATTEMPT TO COMMIT CRIME,274,6 - Larceny,yes,312,1554 in master list,,n
313,CONSPIRACY c274 §7,331,222,CONSPIRACY,274,7,yes,313,1558-1561 in master list,,n
314,ATTEMPT TO COMMIT CRIME c. 274 s. 6 - 5 year felony or greater,0,3,ATTEMPT TO COMMIT CRIME,274,6 - 5 year felony or greater,,314,"1556 in master list. Master list says not expungable because of sex offense. But there is a note from Naoka Carey from June 2019 asking if this is only if it is an attempt to commit a sex offense, since otherwise c274 s6 doesn't seem to fall under the excluded list",,y
315,AFFRAY c. 275 s. 14,0,99,AFFRAY,275,14,yes,315,not in the list of non-expungable offenses.,,n
316,FUGITIVE FROM JUSTICE ON COURT WARRANT c276 §20A,198,735,FUGITIVE FROM JUSTICE ON COURT WARRANT,276,20A,yes,316,not in the list of non-expungable offenses.,,n
317,FUGITIVE FROM JUSTICE WITHOUT WARRANT c276 §20B,4,204,FUGITIVE FROM JUSTICE WITHOUT WARRANT,276,20B,yes,317,not in the list of non-expungable offenses.,,n
318,Solicitation to Commit a Felony C279S5,2,0,SOLICITATION TO COMMIT A FELONY C279S5,279,5,yes,318,not in the list of non-expungable offenses.,,n
319,HABITUAL OFFENDER c279 §25,0,4,HABITUAL OFFENDER,279,25,yes,319,not in the list of non-expungable offenses.,,n
320,FISH/WILDLIFEHUNT/FISH VIOL 321 CMR §3.00,5,0,FISH/WILDLIFEHUNT/FISH VIOL 321 CMR §3.00,321,3,yes,320,not in the list of non-expungable offenses.,,n
321,MARINE FISH¿REGUL OF CATCHES VIOL 322 CMR §6.00,0,2,MARINE FISH¿REGUL OF CATCHES VIOL 322 CMR §6.00,322,6,yes,321,not in the list of non-expungable offenses.,,n
322,MARINE FISH¿STRIPED BASS VIOL 322 CMR §6.07,0,5,MARINE FISH¿STRIPED BASS VIOL 322 CMR §6.07,322,6.07,yes,322,not in the list of non-expungable offenses.,,n
323,MARINE FISH¿COASTAL FISH VIOLATION 322 CMR §8.00,0,1,MARINE FISH¿COASTAL FISH VIOLATION 322 CMR §8.00,322,8,yes,323,not in the list of non-expungable offenses.,,n
324,MBOAT EQUIPMENT VIOLATION 323 CMR §2.06,0,1,MBOAT EQUIPMENT VIOLATION 323 CMR §2.06,323,2.06,yes,324,not in the list of non-expungable offenses.,,n
325,MBOAT OPERATION VIOLATION 323 CMR §2.07,6,5,MBOAT OPERATION VIOLATION 323 CMR §2.07,323,2.07,yes,325,not in the list of non-expungable offenses.,,n
326,SNOW/REC VEHICLE VIOLATION * 323 CMR §3.03,1,4,SNOW/REC VEHICLE VIOLATION * 323 CMR §3.03,323,3.03,yes,326,not in the list of non-expungable offenses.,,n
327,SNOW/REC VEH¿NUMBER PLATE VIOLATION * 323 CMR §3.05,0,1,SNOW/REC VEH¿NUMBER PLATE VIOLATION * 323 CMR §3.05,323,3.05,yes,327,not in the list of non-expungable offenses.,,n
328,SNOW/REC VEH¿EQUIPMENT VIOLATION * 323 CMR §3.07,0,2,SNOW/REC VEH¿EQUIPMENT VIOLATION * 323 CMR §3.07,323,3.07,yes,328,not in the list of non-expungable offenses.,,n
329,JET SKI VIOLATION 323 CMR §4.03,2,0,JET SKI VIOLATION 323 CMR §4.03,323,4.03,yes,329,not in the list of non-expungable offenses.,,n
330,PUBLIC ACCESS REGS VIOLATION 324 CMR §2.03,1,0,PUBLIC ACCESS REGS VIOLATION 324 CMR §2.03,324,2.03,yes,330,not in the list of non-expungable offenses.,,n
331,MDC WAYHITCHHIKE 350 CMR §4.01,1,0,MDC WAYHITCHHIKE 350 CMR §4.01,350,4.01,yes,331,not in the list of non-expungable offenses.,,n
332,MDC WAY¿$100 VIOLATION * 350 CMR §4.01,0,44,MDC WAY¿$100 VIOLATION * 350 CMR §4.01,350,4.01,yes,332,not in the list of non-expungable offenses.,,n
333,MDC WAY¿$200 VIOLATION * 350 CMR §4.01,0,18,MDC WAY¿$200 VIOLATION * 350 CMR §4.01,350,4.01,yes,333,not in the list of non-expungable offenses.,,n
334,MDC WAY¿$50 VIOLATION * 350 CMR §4.01,0,3,MDC WAY¿$50 VIOLATION * 350 CMR §4.01,350,4.01,yes,334,not in the list of non-expungable offenses.,,n
335,MDC WAY¿$25 VIOLATION * 350 CMR §4.01,0,1,MDC WAY¿$25 VIOLATION * 350 CMR §4.01,350,4.01,yes,335,not in the list of non-expungable offenses.,,n
336,MDC WAY¿SPEEDING * 350 CMR §4.01,0,1,MDC WAY¿SPEEDING * 350 CMR §4.01,350,4.01,yes,336,not in the list of non-expungable offenses.,,n
337,MDC WATERSHEDNON-MV VIOLATION 350 CMR §11.09,61,0,MDC WATERSHEDNON-MV VIOLATION 350 CMR §11.09,350,11.09,yes,337,not in the list of non-expungable offenses.,,n
338,MDC WATERSHEDMV VIOLATION  350 CMR §11.09,19,0,MDC WATERSHEDMV VIOLATION  350 CMR §11.09,350,11.09,yes,338,not in the list of non-expungable offenses.,,n
339,MDC WATERSHED¿NON-MV VIOLATION 350 CMR §11.09,0,55,MDC WATERSHED¿NON-MV VIOLATION 350 CMR §11.09,350,11.09,yes,339,not in the list of non-expungable offenses.,,n
340,MDC WATERSHED¿MV VIOLATION 350 CMR §11.09,0,5,MDC WATERSHED¿MV VIOLATION 350 CMR §11.09,350,11.09,yes,340,not in the list of non-expungable offenses.,,n
341,MDC¿CHARLES RIVER BASIN VIOLATION 350 CMR §12.02,0,1,MDC¿CHARLES RIVER BASIN VIOLATION 350 CMR §12.02,350,12.02,yes,341,not in the list of non-expungable offenses.,,n
342,MDC WAY/RESERVNON-MV VIOLATION 350 CMR §2.01(2),1,0,MDC WAY/RESERVNON-MV VIOLATION 350 CMR §2.01(2),350,2.01(2),yes,342,not in the list of non-expungable offenses.,,n
343,MDC WAY/RESERV¿NON-MV VIOLATION 350 CMR §2.01(2),0,39,MDC WAY/RESERV¿NON-MV VIOLATION 350 CMR §2.01(2),350,2.01(2),yes,343,not in the list of non-expungable offenses.,,n
344,"MDC WAY/RESERV¿ENTRY/EXIT, IMPROPER MV * 350 CMR §2.01(2)",0,14,"MDC WAY/RESERV¿ENTRY/EXIT, IMPROPER MV * 350 CMR §2.01(2)",350,2.01(2),yes,344,not in the list of non-expungable offenses.,,n
345,MDC WAY¿SOLICITING FROM PERSONS IN MVS 350 CMR §4.01,0,14,MDC WAY¿SOLICITING FROM PERSONS IN MVS 350 CMR §4.01,350,350 CMR §4.01,yes,345,not in the list of non-expungable offenses.,,n
346,"MEDICAL MARIJUANA CARD/CULTIVATION REG, FRAUD USE PROFIT c369 §14",0,1,"MEDICAL MARIJUANA CARD/CULTIVATION REG, FRAUD USE PROFIT",369,14,yes,346,not in the list of non-expungable offenses.,,n
347,MOTOR VEH INSPECTION STATION VIOLATION 540 CMR §4.00,7,3,MOTOR VEH INSPECTION STATION VIOLATION 540 CMR §4.00,540,4,yes,347,not in the list of non-expungable offenses.,,n
348,MOTOR CARRIER SAFETY VIOLATION 540 CMR §14.03,9,19,MOTOR CARRIER SAFETY VIOLATION 540 CMR §14.03,540,14.03,yes,348,not in the list of non-expungable offenses.,,n
349,HAZARDOUS MATERIALS TRANSPORT VIOL * 540 CMR §14.03,0,1,HAZARDOUS MATERIALS TRANSPORT VIOL * 540 CMR §14.03,540,14.03,yes,349,not in the list of non-expungable offenses.,,n
350,REGISTRATION STICKER MISSING * 540 CMR §2.05(6)(a),36,68,REGISTRATION STICKER MISSING * 540 CMR §2.05(6)(A),540,2.05(6)(a),yes,350,not in the list of non-expungable offenses.,,n
351,"HEADLIGHTS, FAIL DIM * 540 CMR §2.12(2)",0,1,"HEADLIGHTS, FAIL DIM * 540 CMR §2.12(2)",540,2.12(2),yes,351,not in the list of non-expungable offenses.,,n
352,"AFTERMARKET LIGHTING, NONCOMPLIANT * 540 CMR §22.07",8,18,"AFTERMARKET LIGHTING, NONCOMPLIANT * 540 CMR §22.07",540,22.07,yes,352,not in the list of non-expungable offenses.,,n
353,TRUCK FAIL DISPLAY OWNER¿S NAME * 540 CMR §2.22(1),0,12,TRUCK FAIL DISPLAY OWNER¿S NAME * 540 CMR §2.22(1),540,2.22(1),yes,353,not in the list of non-expungable offenses.,,n
354,REGISTRATION STICKER MISSING * 540 CMR §2.24(3),0,2,REGISTRATION STICKER MISSING * 540 CMR §2.24(3),540,2.24(3),yes,354,not in the list of non-expungable offenses.,,n
355,"NUMBER PLATE, MISUSE DEALER/REPAIR 540 CMR §18.04(2)",4,8,"NUMBER PLATE, MISUSE DEALER/REPAIR 540 CMR §18.04(2)",540,18.04(2),yes,355,not in the list of non-expungable offenses.,,n
356,"HEADLIGHTS, FAIL DIM * 540 CMR §22.05(2)",47,17,"HEADLIGHTS, FAIL DIM * 540 CMR §22.05(2)",540,22.05(2),yes,356,not in the list of non-expungable offenses.,,n
357,"HEADLIGHTS, ALTERNATING FLASHING * 540 CMR §22.05(2)",2,2,"HEADLIGHTS, ALTERNATING FLASHING * 540 CMR §22.05(2)",540,22.05(2),yes,357,not in the list of non-expungable offenses.,,n
358,MASS PIKE¿NEGLIGENT OPERATION * 700 CMR §7.09(5)(a),0,49,MASS PIKE¿NEGLIGENT OPERATION * 700 CMR §7.09(5)(A),700,7.09(5)(a),yes,358,not in the list of non-expungable offenses.,,n
359,MASS PIKE¿MARKED LANES VIOLATION * 700 CMR §7.09(5)(a),0,18,MASS PIKE¿MARKED LANES VIOLATION * 700 CMR §7.09(5)(A),700,7.09(5)(a),yes,359,not in the list of non-expungable offenses.,,n
360,MASS PIKE¿SPEEDING TO ENDANGER * 700 CMR §7.09(6)(b),0,60,MASS PIKE¿SPEEDING TO ENDANGER * 700 CMR §7.09(6)(B),700,7.09(6)(b),yes,360,not in the list of non-expungable offenses.,,n
361,STATE HWAY¿PARKING * 720 CMR §9.03,0,1,STATE HWAY¿PARKING * 720 CMR §9.03,720,9.03,yes,361,not in the list of non-expungable offenses.,,n
362,STATE HWAYWRONG WAY * 720 CMR §9.05,13,0,STATE HWAYWRONG WAY * 720 CMR §9.05,720,9.05,yes,362,not in the list of non-expungable offenses.,,n
363,STATE HWAY WRONG WAY * 720 CMR §9.05,0,196,STATE HWAY WRONG WAY * 720 CMR §9.05,720,9.05,yes,363,not in the list of non-expungable offenses.,,n
364,STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.06,179,0,STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.06,720,9.06,yes,364,not in the list of non-expungable offenses.,,n
365,STATE HWAYSIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06,25,0,STATE HWAYSIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06,720,9.06,yes,365,not in the list of non-expungable offenses.,,n
366,STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.06,0,305,STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.06,720,9.06,yes,366,not in the list of non-expungable offenses.,,n
367,STATE HWAY¿SIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06,0,134,STATE HWAY¿SIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06,720,9.06,yes,367,not in the list of non-expungable offenses.,,n
368,STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.07,9,0,STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.07,720,9.07,yes,368,not in the list of non-expungable offenses.,,n
369,STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.07,0,10,STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.07,720,9.07,yes,369,not in the list of non-expungable offenses.,,n
370,"STATE HWAYRAMP, BACK ON/OFF * 720 CMR §9.08",1,0,"STATE HWAYRAMP, BACK ON/OFF * 720 CMR §9.08",720,9.08,yes,370,not in the list of non-expungable offenses.,,n
371,"STATE HWAY¿RAMP, BACK ON/OFF * 720 CMR §9.08",0,3,"STATE HWAY¿RAMP, BACK ON/OFF * 720 CMR §9.08",720,9.08,yes,371,not in the list of non-expungable offenses.,,n
372,STATE HWAYPEDESTRIAN VIOLATION 720 CMR §9.09,1,0,STATE HWAYPEDESTRIAN VIOLATION 720 CMR §9.09,720,9.09,yes,372,not in the list of non-expungable offenses.,,n
373,STATE HWAY¿PEDESTRIAN VIOLATION 720 CMR §9.09,0,6,STATE HWAY¿PEDESTRIAN VIOLATION 720 CMR §9.09,720,9.09,yes,373,not in the list of non-expungable offenses.,,n
374,NATIONAL NETWORK TRAVEL LIMITATION VIOL * 720 CMR §10.02,0,1,NATIONAL NETWORK TRAVEL LIMITATION VIOL * 720 CMR §10.02,720,10.02,yes,374,not in the list of non-expungable offenses.,,n
375,STATE HWAYLEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(b),1,0,STATE HWAYLEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(B),720,9.08(5)(b),yes,375,not in the list of non-expungable offenses.,,n
376,STATE HWAY¿LEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(b),0,1,STATE HWAY¿LEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(B),720,9.08(5)(b),yes,376,not in the list of non-expungable offenses.,,n
377,STATE HWAY¿HAZARDOUS MAT TRANSP VIOL * 720 CMR §8.03 & §8.04,0,1,STATE HWAY¿HAZARDOUS MAT TRANSP VIOL * 720 CMR §8.03 & §8.04,720,8.03 & §8.04,yes,377,not in the list of non-expungable offenses.,,n
378,MASS PIKE TANDEM¿LENGTH VIOLATION * 730 CMR §4.01,0,8,MASS PIKE TANDEM¿LENGTH VIOLATION * 730 CMR §4.01,730,4.01,yes,378,not in the list of non-expungable offenses.,,n
379,MASS PIKE TANDEM¿WEIGHT VIOLATION * 730 CMR §4.02,0,4,MASS PIKE TANDEM¿WEIGHT VIOLATION * 730 CMR §4.02,730,4.02,yes,379,not in the list of non-expungable offenses.,,n
380,MASS PIKE TANDEM¿BRAKE VIOLATION * 730 CMR §4.06,0,2,MASS PIKE TANDEM¿BRAKE VIOLATION * 730 CMR §4.06,730,4.06,yes,380,not in the list of non-expungable offenses.,,n
381,MASS PIKE TANDEM¿DISPLAY LENGTH/WT * 730 CMR §4.11,0,1,MASS PIKE TANDEM¿DISPLAY LENGTH/WT * 730 CMR §4.11,730,4.11,yes,381,not in the list of non-expungable offenses.,,n
382,MASS PIKE TANDEM¿COUPLING VIOLATION * 730 CMR §4.12,0,1,MASS PIKE TANDEM¿COUPLING VIOLATION * 730 CMR §4.12,730,4.12,yes,382,not in the list of non-expungable offenses.,,n
383,MASS PIKE TANDEM¿EQUIPMENT INSPECTION * 730 CMR §4.15,0,1,MASS PIKE TANDEM¿EQUIPMENT INSPECTION * 730 CMR §4.15,730,4.15,yes,383,not in the list of non-expungable offenses.,,n
384,MASS PIKE TANDEM¿SPEEDING * 730 CMR §4.18,0,4,MASS PIKE TANDEM¿SPEEDING * 730 CMR §4.18,730,4.18,yes,384,not in the list of non-expungable offenses.,,n
385,MASS PIKE TANDEM¿PASSING VIOLATION * 730 CMR §4.20,0,2,MASS PIKE TANDEM¿PASSING VIOLATION * 730 CMR §4.20,730,4.2,yes,385,not in the list of non-expungable offenses.,,n
386,MASS PIKE TANDEM¿MAKEUP/BREAKUP VIOL * 730 CMR §4.28,0,1,MASS PIKE TANDEM¿MAKEUP/BREAKUP VIOL * 730 CMR §4.28,730,4.28,yes,386,not in the list of non-expungable offenses.,,n
387,"MASS PIKE¿TOLL, EVADE * 730 CMR §5.03",0,1,"MASS PIKE¿TOLL, EVADE * 730 CMR §5.03",730,5.03,yes,387,not in the list of non-expungable offenses.,,n
388,MASS PIKE¿SPEEDING * 730 CMR §5.04,0,174,MASS PIKE¿SPEEDING * 730 CMR §5.04,730,5.04,yes,388,not in the list of non-expungable offenses.,,n
389,MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §5.04,0,9,MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §5.04,730,5.04,yes,389,not in the list of non-expungable offenses.,,n
390,MASS PIKE¿$100 VIOLATION * 730 CMR §5.04,0,2,MASS PIKE¿$100 VIOLATION * 730 CMR §5.04,730,5.04,yes,390,not in the list of non-expungable offenses.,,n
391,MASS PIKE¿$500 VIOLATION * 730 CMR §5.04,0,1,MASS PIKE¿$500 VIOLATION * 730 CMR §5.04,730,5.04,yes,391,not in the list of non-expungable offenses.,,n
392,MASS PIKE¿WEIGHT VIOLATION * 730 CMR §5.04,0,1,MASS PIKE¿WEIGHT VIOLATION * 730 CMR §5.04,730,5.04,yes,392,not in the list of non-expungable offenses.,,n
393,MASS PIKE¿$15 VIOLATION * 730 CMR §5.04,0,1,MASS PIKE¿$15 VIOLATION * 730 CMR §5.04,730,5.04,yes,393,not in the list of non-expungable offenses.,,n
394,MASS PIKE¿MOTOR CARRIER SAFETY ACT VIOL * 730 CMR §7.09,0,68,MASS PIKE¿MOTOR CARRIER SAFETY ACT VIOL * 730 CMR §7.09,730,7.09,yes,394,not in the list of non-expungable offenses.,,n
395,MASS PIKE¿DISABLED VEH REPAIR/TOW VIOL * 730 CMR §7.11,0,1,MASS PIKE¿DISABLED VEH REPAIR/TOW VIOL * 730 CMR §7.11,730,7.11,yes,395,not in the list of non-expungable offenses.,,n
396,"MASS PIKE¿SIGNAL/SIGN/MARKINGS, UNAUTH 730 CMR §5.04(1)(b)",0,11,"MASS PIKE¿SIGNAL/SIGN/MARKINGS, UNAUTH 730 CMR §5.04(1)(B)",730,5.04(1)(b),yes,396,not in the list of non-expungable offenses.,,n
397,"MASS PIKE¿SIGNAL/SIGN/MARKINGS,VANDALIZE 730 CMR §5.04(1)(d)",0,2,"MASS PIKE¿SIGNAL/SIGN/MARKINGS,VANDALIZE 730 CMR §5.04(1)(D)",730,5.04(1)(d),yes,397,not in the list of non-expungable offenses.,,n
398,MASS PIKE¿PEDESTRIAN 730 CMR §5.04(4)(b),0,1,MASS PIKE¿PEDESTRIAN 730 CMR §5.04(4)(B),730,5.04(4)(b),yes,398,not in the list of non-expungable offenses.,,n
399,MASS PIKE¿SOLICITING 730 CMR §5.04(4)(g),0,1,MASS PIKE¿SOLICITING 730 CMR §5.04(4)(G),730,5.04(4)(g),yes,399,not in the list of non-expungable offenses.,,n
400,"MASS PIKE¿TOLL, FAIL PAY * 730 CMR §7.03(3)",0,1,"MASS PIKE¿TOLL, FAIL PAY * 730 CMR §7.03(3)",730,7.03(3),yes,400,not in the list of non-expungable offenses.,,n
401,"MASS PIKE¿TOLL, EVADE * 730 CMR §7.03(4)",0,2,"MASS PIKE¿TOLL, EVADE * 730 CMR §7.03(4)",730,7.03(4),yes,401,not in the list of non-expungable offenses.,,n
402,"MASS PIKE¿ETC SYSTEM/LANE, UNAUTH USE * 730 CMR §7.04(1)",0,1,"MASS PIKE¿ETC SYSTEM/LANE, UNAUTH USE * 730 CMR §7.04(1)",730,7.04(1),yes,402,not in the list of non-expungable offenses.,,n
403,MASS PIKE¿WRONG WAY * 730 CMR §7.05(1),0,11,MASS PIKE¿WRONG WAY * 730 CMR §7.05(1),730,7.05(1),yes,403,not in the list of non-expungable offenses.,,n
404,MASS PIKE¿WRONG WAY IN TUNNEL * 730 CMR §7.05(2),0,5,MASS PIKE¿WRONG WAY IN TUNNEL * 730 CMR §7.05(2),730,7.05(2),yes,404,not in the list of non-expungable offenses.,,n
405,"MASS PIKE¿ENTER/EXIT, UNAUTHORIZED * 730 CMR §7.05(3)",0,1,"MASS PIKE¿ENTER/EXIT, UNAUTHORIZED * 730 CMR §7.05(3)",730,7.05(3),yes,405,not in the list of non-expungable offenses.,,n
406,MASS PIKE¿TIRE VIOLATION * 730 CMR §7.05(5)(b),0,1,MASS PIKE¿TIRE VIOLATION * 730 CMR §7.05(5)(B),730,7.05(5)(b),yes,406,not in the list of non-expungable offenses.,,n
407,MASS PIKE¿BRAKES VIOLATION * 730 CMR §7.05(5)(g),0,2,MASS PIKE¿BRAKES VIOLATION * 730 CMR §7.05(5)(G),730,7.05(5)(g),yes,407,not in the list of non-expungable offenses.,,n
408,MASS PIKE¿WEIGHT VIOLATION * 730 CMR §7.05(5)(h),0,1,MASS PIKE¿WEIGHT VIOLATION * 730 CMR §7.05(5)(H),730,7.05(5)(h),yes,408,not in the list of non-expungable offenses.,,n
409,MASS PIKE¿LOITERING 730 CMR §7.05(8),0,1,MASS PIKE¿LOITERING 730 CMR §7.05(8),730,7.05(8),yes,409,not in the list of non-expungable offenses.,,n
410,MASS PIKE¿COMMERCIAL ACTIVITY 730 CMR §7.05(9),0,2,MASS PIKE¿COMMERCIAL ACTIVITY 730 CMR §7.05(9),730,7.05(9),yes,410,not in the list of non-expungable offenses.,,n
411,"MASS PIKE¿SIGN/CIRCULAR, POST/DISTRIBUTE 730 CMR §7.05(9)",0,1,"MASS PIKE¿SIGN/CIRCULAR, POST/DISTRIBUTE 730 CMR §7.05(9)",730,7.05(9),yes,411,not in the list of non-expungable offenses.,,n
412,MASS PIKE¿PILOT CAR VIOLATION * 730 CMR §7.06(4)(d),0,3,MASS PIKE¿PILOT CAR VIOLATION * 730 CMR §7.06(4)(D),730,7.06(4)(d),yes,412,not in the list of non-expungable offenses.,,n
413,"MASS PIKE¿HEIGHT, FAIL DISPLAY * 730 CMR §7.06(4)(f)",0,1,"MASS PIKE¿HEIGHT, FAIL DISPLAY * 730 CMR §7.06(4)(F)",730,7.06(4)(f),yes,413,not in the list of non-expungable offenses.,,n
414,"MASS PIKE¿HEIGHT CLEARANCE, FAIL CHECK * 730 CMR §7.06(4)(g)",0,2,"MASS PIKE¿HEIGHT CLEARANCE, FAIL CHECK * 730 CMR §7.06(4)(G)",730,7.06(4)(g),yes,414,not in the list of non-expungable offenses.,,n
415,"MASS PIKE¿SIGN, FAIL OBEY * 730 CMR §7.08(1)(a)",0,126,"MASS PIKE¿SIGN, FAIL OBEY * 730 CMR §7.08(1)(A)",730,7.08(1)(a),yes,415,not in the list of non-expungable offenses.,,n
