Charges,NW Counts,SF Counts
LARCENY OVER $1200 BY SINGLE SCHEME c266 §30(1),8,51
LARCENY OVER $1200 c266 §30(1),41,183
LARCENY OVER $250 BY BOAT CAPTAIN  c266 §32 & §30(1),1,0
LARCENY OVER $250 BY BOAT CAPTAIN c266 §32 & §30(1),0,1
LARCENY OVER $250 BY FALSE PRETENSE c266 §34 & §30(1),39,110
LARCENY OVER $250 BY SINGLE SCHEME c266 §30(1),27,773
LARCENY OVER $250 FROM +60/DISABLED c266 §30(5),100,91
LARCENY OVER $250 c. 266 s. 30,0,4
LARCENY OVER $250 c266 §30(1),1468,5573
"LARCENY OVER $250, COMMON AND NOTORIOUS THIEF c266 §40",1,0
LARCENY UNDER $1200 BY FALSE PRETENSE c266 §34 & §30(1),2,0
LARCENY UNDER $1200 BY SINGLE SCHEME c266 §30 & §30(1),8,0
LARCENY UNDER $1200 BY SINGLE SCHEME c266 §30(1),0,13
LARCENY UNDER $1200 c266 §30(1),134,269
LARCENY UNDER $250,207,0
LARCENY UNDER $250 BY FALSE PRETENSE c266 §34 & §30(1),34,45
LARCENY UNDER $250 BY SINGLE SCHEME c266 §30 & §30(1),25,82
LARCENY UNDER $250 FROM +60/DISABLED c266 §30(5),59,27
LARCENY UNDER $250 c266 §30(1),1129,1859
"LARCENY, ATTEMPTED c266 §30",0,11
"LAW, REMOVED ATTORNEY PRACTICE c221 §41",0,1
"LAW, UNAUTHORIZED PRACTICE OF c221 §41",0,8
LEARNERS PERMIT VIOLATION * c90 §8B,2,25
LEASE MV LESSEE ALLOW UNAUTH PERSON OP c90 §32E,0,7
LEASE MV LESSEE FAIL RETURN MV c90 §32C,0,1
LEASE MV OBTAINED BY FRAUD/BAD CHECK c90 §32F,0,2
"LEASED PERSONALTY, CONCEAL/SELL/PLEDGE c266 §87",0,12
"LEASED PERSONALTY, FAIL RETURN c266 §87",7,27
"LEASED PERSONALTY, SELL c266 §84",1,0
LEAVE SCENE OF PERSONAL INJURY & DEATH c90 §24(2)(a½)(2),2,48
LEAVE SCENE OF PERSONAL INJURY c90 §24(2)(a½)(1),57,641
LEAVE SCENE OF PROPERTY DAMAGE c. 90 s. 24(2)(a),0,1
LEAVE SCENE OF PROPERTY DAMAGE c90 §24(2)(a),782,2478
LEFT LANE RESTRICTION VIOLATION * c89 §4C,20,11
"LEWD, WANTON & LASCIVIOUS CONDUCT c272 §53",14,174
"LEWDNESS, OPEN AND GROSS c. 272 s. 16",0,2
"LEWDNESS, OPEN AND GROSS c272 §16",60,624
"LEWDNESS, OPEN AND GROSS, HABITUAL  c272 §16",4,0
"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF.  c272 §16",8,0
"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF. c272 §16",0,21
"LIBRARY MATERIALS, FAIL RETURN c266 §99A",19,0
"LICENSE CLASS, OPERATE MV IN VIOLATION c90 §10",28,231
LICENSE NOT IN POSSESSION * c90 §11,332,535
"LICENSE RESTRICTION, OPERATE MV IN VIOL c90 §10",40,89
"LICENSE RESTRICTION, OPERATING MOTOR VEHICLE IN VIOLATION c. 90 s. 10",0,5
"LICENSE REVOKED AS HTO, OPERATE MV WITH c. 90 s. 23",0,2
"LICENSE REVOKED AS HTO, OPERATE MV WITH c90 §23",261,589
"LICENSE REVOKED AS HTO, OPERATE MV w/(criminal)",9,0
"LICENSE SUSPENDED FOR OUI, OPER MV WITH c. 90 s. 23",0,1
"LICENSE SUSPENDED FOR OUI, OPER MV WITH c90 §23",79,300
"LICENSE SUSPENDED, OP MV WITH c. 90 s. 23",0,8
"LICENSE SUSPENDED, OP MV WITH c90 §23",4580,14398
"LICENSE SUSPENDED, OP MV WITH, SUBSQ.OFF c. 90 s. 23",0,1
"LICENSE SUSPENDED, OP MV WITH, SUBSQ.OFF c90 §23",612,1895
"LICENSE UNDER c.131, ALTER/FORGE c131 §33",0,2
"LICENSE, ALLOW ANOTHER TO USE c90 §24(2)(a)",5,22
"LICENSE, EXHIBIT ANOTHER'S c90 §23",7,85
"LICENSE, EXHIBIT ANOTHER'S, SUBSQ.OFF. c90 §23",0,8
"LICENSE, FALSE APPLICATION FOR MV c. 90 s. 24B",0,2
"LICENSE, FALSE APPLICATION FOR MV c90 §24B",1,309
"LICENSE, FALSE STATEMENT IN APPLIC FOR c90 §24(2)(a)",0,19
"LICENSE, REFUSE PRODUCE IN COURT c90 §25",0,1
"LICENSE/REGIS/PLATES, REFUSE PRODUCE c90 §25",11,113
LIGHTS VIOLATION * c85 §15,13,31
LIGHTS VIOLATION BY NON-MOTOR VEHICLE c85 §15,0,1
"LIGHTS VIOLATION, MV * c90 §7",866,1144
"LIQUOR CLUB, UNLICENSED c138 §61",0,2
"LIQUOR ID CARD/LICENSE, FALSE/MISUSE c. 138 s. 34B",0,1
"LIQUOR ID CARD/LICENSE, FALSE/MISUSE c138 §34B",29,30
"LIQUOR INSPECTOR, OBSTRUCT c138 §63A",0,1
"LIQUOR LICENSING AUTH, REFUSE ID SELF TO c138 §34B",0,6
"LIQUOR TO PERSON UNDER 21, SELL/DELIVER c138 §34",48,40
LIQUOR VIOLATION c138 §62,0,28
"LIQUOR, ASSIST PERSON UNDER 21 PURCHASE c138 §34A",9,7
"LIQUOR, PERSON UNDER 21 POSSESS c138 §34C",666,290
"LIQUOR, PERSON UNDER 21 PROCURE c138 §34A",15,36
"LIQUOR, SELL/MAKE/STORE/TRANSPORT UNLAW c138 §2",0,11
"LIQUOR, TRANSPORT UNLAWFULLY c. 138 s. 22",0,1
"LIQUOR, TRANSPORT UNLAWFULLY c138 §22",4,1
LOAD UNSECURED/UNCOVERED * c85 §36,5,15
LOBSTER CONTAINER IMPROP MARKED c130 §47,0,1
"LOBSTER, SHORT c130 §44",0,2
"LOBSTER, TAKE EGG-BEARING c130 §41",0,1
LOBSTER/CRAB VIOLATION c130 §38A,0,2
LOBSTER/CRAB WITHOUT LICENSE c130 §37 & §38,0,1
"LOBSTER/CRAB/FISH POT/CATCH, TAKE/INJURE c130 §31",0,1
"LODGING HOUSE, UNLICENSED c140 §24",0,1
LOGAN¿SIGNAL/SIGN/MARKINGS VIOLATION * 740 CMR §21.52,0,1
LOGAN¿SPEEDING OVER POSTED LIMIT * 740 CMR §21.51,0,5
LOGAN¿TRAFFIC VIOLATION * 740 CMR §21.51,0,1
"LOTTERY TICKET, UTTER OR PASS FALSE c10 §30",4,0
"LOTTERY, SET UP/PROMOTE c271 §7",0,5
"LOTTERY, SET UP/PROMOTE, SUBSQ.OFF. c271 §7",0,1
"Larceny over $250, Habitual Crim, c266,s30",1,0
"License Suspended, Op MV with (Criminal Subsq. Off)",4,0
"MACHINE GUN, POSSESS LOADED, 4TH OFF c269 s10(c)(d)(n)",1,0
"MACHINE GUN, POSSESS c269 §10(c)",0,5
"MACHINE GUN, POSSESS, 2ND OFF. c269 §10(c) & (d)",0,2
"MACHINERY ID NO., REMOVE/ALTER c266 §139A",1,1
MANSLAUGHTER INVOLVING EXPLOSIVES c265 §13,0,7
MANSLAUGHTER WHILE OUI,5,0
MANSLAUGHTER c. 265 s. 13,0,1
MANSLAUGHTER c265 §13,12,36
"MARIHUANA, POSSESS c94C §34",8,28
"MARIHUANA, TRAFFICKING IN  c94C §32E(a)",2,0
"MARIHUANA, TRAFFICKING IN 50 POUNDS OR MORE BUT LESS THAN 100 POUNDS",1,0
"MARIHUANA, TRAFFICKING IN c94C §32E(a)",0,19
"MARIJUANA +12 MARIJUANA PLANTS, POSSESS c94C §34",2,0
"MARIJUANA, POSSESS c. 94C s. 34",0,2
MARINE FISH¿COASTAL FISH VIOLATION 322 CMR §8.00,0,1
MARINE FISH¿REGUL OF CATCHES VIOL 322 CMR §6.00,0,2
MARINE FISH¿STRIPED BASS VIOL 322 CMR §6.07,0,5
MARKED LANES VIOLATION * c89 §4A,2191,2926
"MARRIAGE, ABDUCT PERSON -16 FOR SECRET c. 272 s. 1",0,2
MASS PIKE TANDEM¿BRAKE VIOLATION * 730 CMR §4.06,0,2
MASS PIKE TANDEM¿CLOSER THAN 500 FT * 730 CMR §4.19,0,1
MASS PIKE TANDEM¿COUPLING VIOLATION * 730 CMR §4.12,0,1
MASS PIKE TANDEM¿DISPLAY LENGTH/WT * 730 CMR §4.11,0,1
MASS PIKE TANDEM¿EQUIPMENT INSPECTION * 730 CMR §4.15,0,1
MASS PIKE TANDEM¿LENGTH VIOLATION * 730 CMR §4.01,0,8
MASS PIKE TANDEM¿MAKEUP/BREAKUP VIOL * 730 CMR §4.28,0,1
MASS PIKE TANDEM¿PASSING VIOLATION * 730 CMR §4.20,0,2
MASS PIKE TANDEM¿SPEEDING * 730 CMR §4.18,0,4
MASS PIKE TANDEM¿WEIGHT VIOLATION * 730 CMR §4.02,0,4
MASS PIKE-TOO CLOSE* 700CMR 7.08(15),1,0
MASS PIKE¿$100 VIOLATION * 730 CMR §5.04,0,2
MASS PIKE¿$15 VIOLATION * 730 CMR §5.04,0,1
MASS PIKE¿$500 VIOLATION * 730 CMR §5.04,0,1
MASS PIKE¿BRAKES VIOLATION * 730 CMR §7.05(5)(g),0,2
MASS PIKE¿BREAKDOWN LANE VIOLATION * 730 CMR §7.08(9),0,33
MASS PIKE¿COASTING VIOLATION * 730 CMR §7.08(16),0,5
MASS PIKE¿COMMERCIAL ACTIVITY 730 CMR §7.05(9),0,2
MASS PIKE¿COMMON CARRIER FL STOP FOR POLICE * 730 CMR §7.08(30),0,1
MASS PIKE¿CROSS-OVER VIOLATION * 730 CMR §7.08(10)(b),0,3
MASS PIKE¿DISABLED VEH REPAIR/TOW VIOL * 730 CMR §7.11,0,1
MASS PIKE¿ENTER/EXIT IMPROPERLY * 730 CMR §7.08(7),0,7
"MASS PIKE¿ENTER/EXIT, UNAUTHORIZED * 730 CMR §7.05(3)",0,1
MASS PIKE¿EQUIPMENT VIOLATON * 730 CMR §7.08(27),0,24
"MASS PIKE¿ETC SYSTEM/LANE, UNAUTH USE * 730 CMR §7.04(1)",0,1
MASS PIKE¿EXCLUDED AREA IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(b),0,4
"MASS PIKE¿FUEL, INADEQUATE * 730 CMR §7.08(23)",0,51
MASS PIKE¿HEADLIGHT HIGH BEAM VIOLATION * 730 CMR §7.08(22),0,1
"MASS PIKE¿HEIGHT CLEARANCE, FAIL CHECK * 730 CMR §7.06(4)(g)",0,2
"MASS PIKE¿HEIGHT WARNING SIGNAL, IGNORE * 730 CMR §7.08(19)",0,2
"MASS PIKE¿HEIGHT, FAIL DISPLAY * 730 CMR §7.06(4)(f)",0,1
MASS PIKE¿IDLING * 730 CMR §7.08(28),0,2
"MASS PIKE¿INSPECTION STICKER, NO * 730 CMR §7.08(26)",0,28
MASS PIKE¿LEFT LANE RESTRICTION * 730 CMR §7.08(11)(b),0,6
"MASS PIKE¿LOADING, NEGLIGENT * 730 CMR §7.08(5)(b)",0,1
MASS PIKE¿LOITERING 730 CMR §7.05(8),0,1
MASS PIKE¿MARKED LANES VIOLATION * 700 CMR §7.09(5)(a),0,18
MASS PIKE¿MARKED LANES VIOLATION * 730 CMR §7.08(8),0,195
MASS PIKE¿MEDIAN/EXCLUDED AREA VIOLATION * 730 CMR §7.08(10)(a),0,3
MASS PIKE¿MINIMUM SPEED VIOLATION * 730 CMR §7.08(6)(c),0,3
MASS PIKE¿MOTOR CARRIER SAFETY ACT VIOL * 730 CMR §7.09,0,68
MASS PIKE¿NEGLIGENT OP IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(c),0,2
MASS PIKE¿NEGLIGENT OPERATION * 700 CMR §7.09(5)(a),0,49
MASS PIKE¿NEGLIGENT OPERATION * 730 CMR §7.08(5)(a),0,25
MASS PIKE¿NOISE VIOLATION * 730 CMR §7.08(21),0,1
MASS PIKE¿PASSING VIOLATION * 730 CMR §7.08(14),0,13
MASS PIKE¿PEDESTRIAN 730 CMR §5.04(4)(b),0,1
MASS PIKE¿PILOT CAR VIOLATION * 730 CMR §7.06(4)(d),0,3
"MASS PIKE¿POLICE ORDERS, FAIL OBEY * 730 CMR §7.08(1)(b)",0,10
MASS PIKE¿RESTRICTED AREA VIOLATION * 730 CMR §7.08(11)(a),0,9
"MASS PIKE¿RIGHT LANE, FAIL KEEP TO * 730 CMR §7.08(13)",0,13
"MASS PIKE¿SIGN, FAIL OBEY * 730 CMR §7.08(1)(a)",0,126
"MASS PIKE¿SIGN/CIRCULAR, POST/DISTRIBUTE 730 CMR §7.05(9)",0,1
"MASS PIKE¿SIGN/SIGNAL/MARKING, UNAUTHORIZED 730 CMR §7.08(1)(a)",0,9
"MASS PIKE¿SIGNAL/SIGN/MARKINGS, UNAUTH 730 CMR §5.04(1)(b)",0,11
"MASS PIKE¿SIGNAL/SIGN/MARKINGS,VANDALIZE 730 CMR §5.04(1)(d)",0,2
MASS PIKE¿SOLICIT FUNDS 730 CMR §7.05(9),0,1
MASS PIKE¿SOLICITING 730 CMR §5.04(4)(g),0,1
"MASS PIKE¿SPECIAL FUEL PERMIT, FAIL CARRY * 730 CMR §7.06(6)(e)(2)",0,1
MASS PIKE¿SPEEDING * 730 CMR §5.04,0,174
MASS PIKE¿SPEEDING * 730 CMR §7.08(6)(a),0,193
MASS PIKE¿SPEEDING IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(a),0,5
MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §5.04,0,9
MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §7.08(6)(c),0,13
MASS PIKE¿SPEEDING TO ENDANGER * 700 CMR §7.09(6)(b),0,60
MASS PIKE¿SPEEDING TO ENDANGER * 730 CMR §7.08(6)(b),0,6
MASS PIKE¿STOP/BACK/U-TURN * 730 CMR §7.08(17)(a)&(b),0,19
"MASS PIKE¿STOP/TURN, FAIL SIGNAL * 730 CMR §7.08(17)(c)",0,26
MASS PIKE¿TANDEM PASSING VIOLATION * 730 CMR §7.07(22),0,1
MASS PIKE¿TANDEM TOO CLOSE * 730 CMR §7.07(20),0,11
MASS PIKE¿TIRE VIOLATION * 730 CMR §7.05(5)(b),0,1
"MASS PIKE¿TOLL, EVADE * 730 CMR §5.03",0,1
"MASS PIKE¿TOLL, EVADE * 730 CMR §7.03(4)",0,2
"MASS PIKE¿TOLL, FAIL PAY * 730 CMR §7.03(3)",0,1
MASS PIKE¿TOO CLOSE * 730 CMR §7.08(15),0,87
"MASS PIKE¿TRAFFIC LIGHT, FAIL OBEY * 730 CMR §7.08(2)",0,11
MASS PIKE¿WEIGHT VIOLATION * 730 CMR §5.04,0,1
MASS PIKE¿WEIGHT VIOLATION * 730 CMR §7.05(5)(h),0,1
MASS PIKE¿WRONG WAY * 730 CMR §7.05(1),0,11
MASS PIKE¿WRONG WAY IN TUNNEL * 730 CMR §7.05(2),0,5
"MASSACHUSETTS STATE COLLEGE BUILDING AUTHORITY, FINANCIAL INTEREST VIOLATION c. 73 App. s. 1-2",0,1
MAYHEM c265 §14,16,140
"MBOAT ACCIDENT, FAIL REPORT c90B §9(B)",1,0
MBOAT EQUIPMENT VIOLATION 323 CMR §2.06,0,1
MBOAT EQUIPMENT VIOLATION c90B §5,2,1
"MBOAT ID NO. CERTIF, FAIL POSSESS c90B §3(a)",0,1
"MBOAT ID NO., DISPLAY WRONG c90B §3(j)",2,0
"MBOAT ID NO., FAIL DISPLAY c90B §3(a)",2,0
"MBOAT ID NO., OPERATE WITHOUT c90B §2",2,3
MBOAT OPERATION VIOLATION 323 CMR §2.07,6,5
MBOAT REFUSE STOP/ID FOR OFFICER c90B §12,0,1
"MBTA FARE, ATTEMPT TO EVADE c159 §101",0,2
"MBTA FARE, EVADE c159 §101",0,33
"MBTA, POSSESS LIQUOR TO CONSUME ON c161A §5",0,23
MDC RESERVATIONS/HWAYS REGULATIONS VIOL c92 §37,0,1
MDC WATERSHEDMV VIOLATION  350 CMR §11.09,19,0
MDC WATERSHEDNON-MV VIOLATION 350 CMR §11.09,61,0
MDC WATERSHED¿MV VIOLATION 350 CMR §11.09,0,5
MDC WATERSHED¿NON-MV VIOLATION 350 CMR §11.09,0,55
MDC WAY/RESERVNON-MV VIOLATION 350 CMR §2.01(2),1,0
"MDC WAY/RESERV¿ENTRY/EXIT, IMPROPER MV * 350 CMR §2.01(2)",0,14
MDC WAY/RESERV¿NON-MV VIOLATION 350 CMR §2.01(2),0,39
MDC WAYHITCHHIKE 350 CMR §4.01,1,0
MDC WAY¿$100 VIOLATION * 350 CMR §4.01,0,44
MDC WAY¿$200 VIOLATION * 350 CMR §4.01,0,18
MDC WAY¿$25 VIOLATION * 350 CMR §4.01,0,1
MDC WAY¿$50 VIOLATION * 350 CMR §4.01,0,3
MDC WAY¿SOLICITING FROM PERSONS IN MVS 350 CMR §4.01,0,14
MDC WAY¿SPEEDING * 350 CMR §4.01,0,1
MDC¿CHARLES RIVER BASIN VIOLATION 350 CMR §12.02,0,1
MEDICAL ASSISTANCE FRAUD BY PROVIDER c118E §40,0,2
"MEDICAL ASSISTANCE, FALSE STATEMENT FOR c. 118E s. 39",0,5
"MEDICAL ASSISTANCE, FALSE STATEMENT FOR c118E §39",0,16
"MEDICAL MARIJUANA CARD/CULTIVATION REG, FRAUD USE PROFIT c369 §14",0,1
"METHAMPHETAMINE, DISTRIBUTE c94C §32A(c)",1,3
"METHAMPHETAMINE, DISTRIBUTE, SUBSQ.OFF. c94C §32A(d)",0,5
"METHAMPHETAMINE, POSSESS TO DISTRIB c94C §32A(c)",1,10
"METHAMPHETAMINE, POSSESS TO DISTRIB, 2ND c94C §32A(d)",0,1
"METHAMPHETAMINE, TRAFFICKING IN 100 GRAMS OR MORE, LESS THAN 200 GRAMS",5,0
"METHAMPHETAMINE, TRAFFICKING IN c94C §32E(b)",0,106
"METHAMPHETAMINE, TRAFFICKING IN, 18 GRAMS OR MORE, LESS 36 c94C §32E(c)",0,2
"MILITARY MV, USE WITHOUT AUTHORITY c90 §5A",1,0
"MILITARY STATUS CHANGE, FAIL REPORT, 2ND c90 §8",0,2
MISCELLANEOUS CODE OF MASS REGS VIOLATN,33,120
MISCELLANEOUS COMMON LAW VIOLATION,0,8
MISCELLANEOUS MUNIC MOTOR VEHICLE ORDINANCE/BYLAW,262,0
MISCELLANEOUS MUNIC ORDINANCE/BYLAW VIOL,910,3397
MISCELLANEOUS STATUTORY VIOLATION,1,19
"MOBILE PHONE, OPERATOR USE IMPOPERLY c90 §13",0,28
"MOBILE PHONE, OPERATOR USE IMPROPERLY c90 §13",2,0
"MOLOTOV COCKTAIL, MAKE/SELL/USE/POSSESS c266 §102B",1,3
MONEY LAUNDERING c267A §2,0,174
MONEY LAUNDERING c267A §2(1),23,0
MOPED OPERATION BY UNLIC -17 c90 §1B,0,14
"MOPED OPERATION BY UNLIC -17, 2ND OFF. c90 §1B",0,1
MOPED VIOLATION * c90 §1B,15,137
MORTGAGE BROKER OR LENDER LICENSE REQUIREMENT; VIOLATION c. 255E s. 2,0,1
MOTOR CARRIER SAFETY VIOLATION 540 CMR §14.03,9,19
MOTOR VEH BY-LAW VIOLATION * c85 §10,0,1
MOTOR VEH HOMICIDE BY NEGLIGENT OP c90 §24G(b),14,24
MOTOR VEH HOMICIDE BY RECKLESS OP c90 §24G(b),3,12
MOTOR VEH HOMICIDE OUI LIQUOR & NEGLIG c90 §24G(a),0,4
MOTOR VEH HOMICIDE OUIDRUGS & NEGLIG c90 §24G(a),6,0
MOTOR VEH HOMICIDE OUILIQUOR & NEGLIG c90 §24G(a),8,0
MOTOR VEH HOMICIDE OUILIQUOR c90 §24G(b),2,0
MOTOR VEH HOMICIDE OUI¿DRUGS c90 §24G(b),0,2
MOTOR VEH HOMICIDE OUI¿LIQUOR & RECKL c90 §24G(a),0,3
MOTOR VEH HOMICIDE OUI¿LIQUOR c90 §24G(b),0,15
MOTOR VEH IN AREA CLOSED TO TRAVEL * c90 §18,1,24
"MOTOR VEH IN FELONY/LARCENY, USE c90 §24A",5,2
MOTOR VEH INSPECTION STATION VIOLATION 540 CMR §4.00,7,3
"MOTOR VEH MASTER KEY, POSSESS c266 §49",0,4
"MOTOR VEH THEFT, FALSE REPORT OF c268 §39",3,15
"MOTOR VEH THIEF, CONCEAL c266 §28(b)",0,16
"MOTOR VEH TO DEFRAUD, REMOVE c266 §27A",0,5
"MOTOR VEH VIN, REMOVE/ALTER c266 §139(a)",1,11
"MOTOR VEH WITH DEFACED VIN, POSSESS/RECV c266 §139(c)",1,5
"MOTOR VEH, LARCENY OF c266 §28(a)",107,373
"MOTOR VEH, LARCENY OF, SUBSQ.OFF. c266 §28(a)",3,15
"MOTOR VEH, LARCENY OF/MALICIOUS DAMAGE/RECEIVE STOLEN/TAKE AND STEAL PARTS c. 266 s. 28(a)",0,1
"MOTOR VEH, MALICIOUS DAMAGE TO c266 §28(a)",187,472
"MOTOR VEH, MALICIOUS DAMAGE TO,SUBSQ.OFF c266 §28(a)",0,3
"MOTOR VEH, RECEIVE STOLEN c266 §28(a)",53,1303
"MOTOR VEH, RECEIVE STOLEN, SUBSQ.OFF. c266 §28(a)",3,108
"MOTOR VEH, REMOVE IMPROPERLY c266 §120D",1,0
"MOTOR VEH, TAKING & STEALING PARTS c266 §28(a)",2,15
"MOTOR VEH, TAKING & STEALING PARTS,SUBSQ. c266 §28(a)",0,1
MOTORCYCLE EQUIPMENT VIOLATION * c90 §7,8,82
MOTORCYCLE PASSENGER VIOLATION * c90 §7,1,2
MOTORIZED SCOOTER VIOLATION c90 s1E,15,0
MUNICIPAL BY-LAW OR ORDINANCE VIOLATION c40 §21,38,951
MUNICIPAL BY-LAW VIOLATION c85 §10,1,9
MURDER c. 265 s. 1,0,9
MURDER c265 §1,10,345
"MURDER, ATTEMPTED c265 §16",51,62
"Methamphetamine, Trafficking in 18 grams or more, less than 36 grams",1,0
"Mislead a Police Officer, c268,s13B",38,0
"NAME/ADDRESS CHANGE, FL NOTIFY RMV OF * c90 §26A",94,46
"NAME/ADDRESS, MV OP REFUSE GIVE AT NT * c85 §16",0,2
"NAME/ADDRESS, REFUSE GIVE AT NIGHT c85 §16",1,0
NATIONAL NETWORK TRAVEL LIMITATION VIOL * 720 CMR §10.02,0,1
NEGLIGENT OPERATION OF MOTOR VEHICLE c. 90 s. 24(2)(a),0,2
NEGLIGENT OPERATION OF MOTOR VEHICLE c90 §24(2)(a),2389,2894
"NIGHTWALKER, COMMON c272 §53",0,75
"NIGHTWALKER, COMMON, 3RD OFFENSE c272 §53",0,5
"NOISY & DISORDERLY HOUSE, KEEP c272 §53",15,279
"NOMINATION PAPER/PETITION, FALSE c56 §11",0,16
"NOTES, POSSESS WORTHLESS/FALSE c267 §27",1,0
"NOXIOUS/FILTHY SUBSTANCE, VANDALIZE WITH c266 §103",16,11
NUISANCE ERECTED IN PUBLIC WATERS c91 §23,4,0
"NUISANCE, AID/PERMIT c139 §20",0,3
NUMBER PLATE MISSING * c90 §9,10,57
NUMBER PLATE VIOLATION * c90 §6,390,668
NUMBER PLATE VIOLATION TO CONCEAL ID c. 90 s. 23,0,1
NUMBER PLATE VIOLATION TO CONCEAL ID c90 §23,724,1818
"NUMBER PLATE, FAIL RETURN REPOSSESSED MV c90 §6C",1,5
"NUMBER PLATE, FALSE APPLIC FOR DEALER c90 §5(g)",0,1
"NUMBER PLATE, MISUSE DEALER/REPAIR 540 CMR §18.04(2)",4,8
"NUMBER PLATE, MISUSE OFFICIAL * c90 §2",1,9
"NUMBER PLATE, TAKE OR ATTACH c266 §139(e)",0,30
"NURSING, UNAUTH PRACTICE OF PRACTICAL c112 §80A",6,0
"Number Plate, Take",6,0
OBSCENE MATTER TO MINOR c272 §28,40,88
"OBSCENE MATTER TO MINOR, 2ND OFF. c272 §28",1,0
"OBSCENE MATTER, DISTRIBUTE c272 §29",14,41
OBSTRUCT JUSTICE (Common Law),2,3
OP MV W/ LICENSE REVOKED-HABITUAL TRAFFIC OFFENDER 90/23,1,0
OPEN CONTAINER MARIJUANA IN VEHICLE c94G s13(d),56,0
OPEN CONTAINER MARIJUANA IN VEHICLE c94G §13(d),0,17
OPERATE WITHOUT IGNITION INTERLOCK,18,0
OPERATING MOTOR VEHICLE TO ENDANGER c90 §24,0,35
OPERATING MV IN VIOLATON OF IGNITION INTERLOCK REST,0,6
"OPERATION OF MOTOR VEHICLE, IMPROPER * c90 §16",114,397
OPERATOR SEND/READ ELECTRONIC MESSAGE,51,0
"OUI CHILD ENDANGERMENT, 1ST OFFENSE c90 §24v",0,25
OUI LIQUOR OR DRUGS c. 90 s. 24(1)(a)(1),0,2
"OUI LIQUOR OR DRUGS, 2ND OFF. c. 90 s. 24(1)(a)(1)",0,1
OUI WHILE LICENSE SUSPENDED FOR OUI,23,0
"OUI-2nd or sub offense, c90,s24(1)(a)(1)",1,0
"OUI-3rd Offense, c90,s24(1)(a)(1)",1,0
OUIDRUGS & SERIOUS INJURY & NEGLIGENT c90 §24L(1),4,0
OUIDRUGS & SERIOUS INJURY c90 §24L(2),2,0
OUIDRUGS c90 §24(1)(a)(1),312,0
"OUIDRUGS, 2ND OFFENSE c90 §24(1)(a)(1)",26,0
"OUIDRUGS, 3RD OFFENSE c90 §24(1)(a)(1)",17,0
"OUIDRUGS, 4TH OFFENSE c90 §24(1)(a)(1)",6,0
OUILIQUOR & SERIOUS INJURY & NEGLIGENT c90 §24L(1),8,0
OUILIQUOR & SERIOUS INJURY & RECKLESS c90 §24L(1),2,0
OUILIQUOR & SERIOUS INJURY c90 §24L(2),9,0
OUILIQUOR c90 §24(1)(a)(1),2361,0
"OUILIQUOR, 2ND OFFENSE c90 §24(1)(a)(1)",677,0
"OUILIQUOR, 3RD OFFENSE c90 §24(1)(a)(1)",111,0
"OUILIQUOR, 4TH OFFENSE c90 §24(1)(a)(1)",52,0
"OUILIQUOR, 5TH OFFENSE c90 §24(1)(a)(1)",15,0
"OUILIQUOR, 6TH OFFENSE c90 §24(1)(a)(1)",3,0
OUI¿DRUGS & SERIOUS INJURY & NEGLIGENT c90 §24L(1),0,2
OUI¿DRUGS & SERIOUS INJURY & RECKLESS c90 §24L(1),0,7
OUI¿DRUGS & SERIOUS INJURY c90 §24L(2),0,26
OUI¿DRUGS c90 §24(1)(a)(1),0,558
"OUI¿DRUGS, 2ND OFFENSE c90 §24(1)(a)(1)",0,42
"OUI¿DRUGS, 3RD OFFENSE c90 §24(1)(a)(1)",0,17
"OUI¿DRUGS, 4TH OFFENSE c90 §24(1)(a)(1)",0,54
"OUI¿DRUGS, 5TH OFFENSE c90 §24(1)(a)(1)",0,5
"OUI¿DRUGS, 7TH OFFENSE c90 §24(1)(a)(1)",0,1
"OUI¿DRUGS, 9TH OFFENSE c90 §24(1)(a)(1)",0,1
OUI¿LIQUOR & SERIOUS INJURY & NEGLIGENT c90 §24L(1),0,21
OUI¿LIQUOR & SERIOUS INJURY & RECKLESS c90 §24L(1),0,4
OUI¿LIQUOR & SERIOUS INJURY c90 §24L(2),0,31
OUI¿LIQUOR c90 §24(1)(a)(1),0,3900
"OUI¿LIQUOR, 2ND OFFENSE c90 §24(1)(a)(1)",0,597
"OUI¿LIQUOR, 3RD OFFENSE c90 §24(1)(a)(1)",0,108
"OUI¿LIQUOR, 4TH OFFENSE c90 §24(1)(a)(1)",0,53
"OUI¿LIQUOR, 5TH OFFENSE c90 §24(1)(a)(1)",0,18
"OUI¿LIQUOR, 9TH OFFENSE c90 §24(1)(a)(1)",0,2
OUT-OF-SVCE ORDER VIOLATION * c90F §9(E½)(3),0,1
"OXYCODENE, POSSESSION CLASS B WITH INTENT c94C §32A(a)",0,22
"OXYCODONE, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(c)(3)",0,148
