"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","alphcharge"
"919","CHILD IN SEXUAL ACT, DISTRIB MATERIAL OF c272 §29B(b)",9,17,"CHILD IN SEXUAL ACT, DISTRIB MATERIAL OF","272","29B(b)","No","CHILDINSEXUALACTDISTRIBMATERIALOFc27229Bb"
"920","CHILD PORNOGRAPHY, POSSESS c272 §29C",144,184,"CHILD PORNOGRAPHY, POSSESS","272","29C","No","CHILDPORNOGRAPHYPOSSESSc27229C"
"921","CHILD PORNOGRAPHY, POSSESS, 2ND OFF.  c272 §29C",2,0,"CHILD PORNOGRAPHY, POSSESS, 2ND OFF. ","272","29C","No","CHILDPORNOGRAPHYPOSSESS2NDOFFc27229C"
"922","CHILD PORNOGRAPHY, POSSESS, 2ND OFF. c272 §29C",0,9,"CHILD PORNOGRAPHY, POSSESS, 2ND OFF.","272","29C","No","CHILDPORNOGRAPHYPOSSESS2NDOFFc27229C"
"923","CHILD PORNOGRAPHY, POSSESS, 3RD OFF. c272 §29C",0,2,"CHILD PORNOGRAPHY, POSSESS, 3RD OFF.","272","29C","No","CHILDPORNOGRAPHYPOSSESS3RDOFFc27229C"
"924","SEXUAL INTERCOURSE, DRUG FOR c272 §3",2,3,"SEXUAL INTERCOURSE, DRUG FOR","272","3","No","SEXUALINTERCOURSEDRUGFORc2723"
"925","BESTIALITY c272 §34",0,2,"BESTIALITY","272","34","Yes","BESTIALITYc27234"
"926","SODOMY c272 §34",0,2,"SODOMY","272","34","Yes","SODOMYc27234"
"927","UNNATURAL ACT c272 §35",4,2,"UNNATURAL ACT","272","35","Yes","UNNATURALACTc27235"
"928","UNNATURAL ACT WITH CHILD -16 c272 §35A",63,2,"UNNATURAL ACT WITH CHILD -16","272","35A","No","UNNATURALACTWITHCHILD16c27235A"
"929","RELIGIOUS SERVICE, DISTURB c272 §38",0,1,"RELIGIOUS SERVICE, DISTURB","272","38","","RELIGIOUSSERVICEDISTURBc27238"
"930","SEXUAL INTERCOURSE, INDUCE CHASTE MINOR c272 §4",1,1,"SEXUAL INTERCOURSE, INDUCE CHASTE MINOR","272","4","No","SEXUALINTERCOURSEINDUCECHASTEMINORc2724"
"931","SCHOOL, DISTURB c272 §40",117,24,"SCHOOL, DISTURB","272","40","Yes","SCHOOLDISTURBc27240"
"932","PUBLIC ASSEMBLY, DISTURB c272 §40",2,39,"PUBLIC ASSEMBLY, DISTURB","272","40","Yes","PUBLICASSEMBLYDISTURBc27240"
"933","SCHOOL, POSSESS LIQUOR IN c272 §40A",0,1,"SCHOOL, POSSESS LIQUOR IN","272","40A","Yes","SCHOOLPOSSESSLIQUORINc27240A"
"934","FUNERAL PROCESSION, DISTURB c272 §42",0,6,"FUNERAL PROCESSION, DISTURB","272","42","","FUNERALPROCESSIONDISTURBc27242"
"935","FUNERAL SERVICE, DISTURB c272 §42A",0,1,"FUNERAL SERVICE, DISTURB","272","42A","","FUNERALSERVICEDISTURBc27242A"
"936","DISORDERLY CONDUCT ON PUBLIC CONVEYANCE c272 §43",1,32,"DISORDERLY CONDUCT ON PUBLIC CONVEYANCE","272","43","Yes","DISORDERLYCONDUCTONPUBLICCONVEYANCEc27243"
"937","DISORDERLY CONDUCT ON PUB CONVEY,3RD OFF c272 §43",0,1,"DISORDERLY CONDUCT ON PUB CONVEY,3RD OFF","272","43","Yes","DISORDERLYCONDUCTONPUBCONVEY3RDOFFc27243"
"938","SMOKING ON MBTA c272 §43A",0,7,"SMOKING ON MBTA","272","43A","Yes","SMOKINGONMBTAc27243A"
"939","PROSTITUTION, INDUCE MINOR TO c272 §4A",0,9,"PROSTITUTION, INDUCE MINOR TO","272","4A","No","PROSTITUTIONINDUCEMINORTOc2724A"
"940","PROSTITUTION, DERIVE SUPPORT FROM CHILD c272 §4B",0,3,"PROSTITUTION, DERIVE SUPPORT FROM CHILD","272","4B","No","PROSTITUTIONDERIVESUPPORTFROMCHILDc2724B"
"941","DISORDERLY CONDUCT c272 §53",1377,5902,"DISORDERLY CONDUCT","272","53","No","DISORDERLYCONDUCTc27253"
"942","DISORDERLY CONDUCT c272 §53",1377,5902,"DISORDERLY CONDUCT","272","53","Yes","DISORDERLYCONDUCTc27253"
"943","DISTURBING THE PEACE c272 §53",403,1870,"DISTURBING THE PEACE","272","53","No","DISTURBINGTHEPEACEc27253"
"944","DISTURBING THE PEACE c272 §53",403,1870,"DISTURBING THE PEACE","272","53","Yes","DISTURBINGTHEPEACEc27253"
"945","INDECENT EXPOSURE c272 §53",68,424,"INDECENT EXPOSURE","272","53","No","INDECENTEXPOSUREc27253"
"946","INDECENT EXPOSURE c272 §53",68,424,"INDECENT EXPOSURE","272","53","Yes","INDECENTEXPOSUREc27253"
"947","ACCOST/ANNOY PERSON OF OPPOSITE SEX c272 §53",37,113,"ACCOST/ANNOY PERSON OF OPPOSITE SEX","272","53","No","ACCOSTANNOYPERSONOFOPPOSITESEXc27253"
"948","ACCOST/ANNOY PERSON OF OPPOSITE SEX c272 §53",37,113,"ACCOST/ANNOY PERSON OF OPPOSITE SEX","272","53","Yes","ACCOSTANNOYPERSONOFOPPOSITESEXc27253"
"949","NOISY & DISORDERLY HOUSE, KEEP c272 §53",15,279,"NOISY & DISORDERLY HOUSE, KEEP","272","53","No","NOISYDISORDERLYHOUSEKEEPc27253"
"950","NOISY & DISORDERLY HOUSE, KEEP c272 §53",15,279,"NOISY & DISORDERLY HOUSE, KEEP","272","53","Yes","NOISYDISORDERLYHOUSEKEEPc27253"
"951","LEWD, WANTON & LASCIVIOUS CONDUCT c272 §53",14,174,"LEWD, WANTON & LASCIVIOUS CONDUCT","272","53","No","LEWDWANTONLASCIVIOUSCONDUCTc27253"
"952","LEWD, WANTON & LASCIVIOUS CONDUCT c272 §53",14,174,"LEWD, WANTON & LASCIVIOUS CONDUCT","272","53","Yes","LEWDWANTONLASCIVIOUSCONDUCTc27253"
"953","NIGHTWALKER, COMMON c272 §53",0,75,"NIGHTWALKER, COMMON","272","53","No","NIGHTWALKERCOMMONc27253"
"954","NIGHTWALKER, COMMON c272 §53",0,75,"NIGHTWALKER, COMMON","272","53","Yes","NIGHTWALKERCOMMONc27253"
"955","STREETWALKER, COMMON c272 §53",0,10,"STREETWALKER, COMMON","272","53","No","STREETWALKERCOMMONc27253"
"956","STREETWALKER, COMMON c272 §53",0,10,"STREETWALKER, COMMON","272","53","Yes","STREETWALKERCOMMONc27253"
"957","DISORDERLY CONDUCT, SUBSQ. OFF. c272 §53",0,5,"DISORDERLY CONDUCT, SUBSQ. OFF.","272","53","No","DISORDERLYCONDUCTSUBSQOFFc27253"
"958","DISORDERLY CONDUCT, SUBSQ. OFF. c272 §53",0,5,"DISORDERLY CONDUCT, SUBSQ. OFF.","272","53","Yes","DISORDERLYCONDUCTSUBSQOFFc27253"
"959","NIGHTWALKER, COMMON, 3RD OFFENSE c272 §53",0,5,"NIGHTWALKER, COMMON, 3RD OFFENSE","272","53","No","NIGHTWALKERCOMMON3RDOFFENSEc27253"
"960","NIGHTWALKER, COMMON, 3RD OFFENSE c272 §53",0,5,"NIGHTWALKER, COMMON, 3RD OFFENSE","272","53","Yes","NIGHTWALKERCOMMON3RDOFFENSEc27253"
"961","DISORDERLY CONDUCT c. 272 s. 53",0,4,"DISORDERLY CONDUCT","272","53","No","DISORDERLYCONDUCTc272s53"
"962","DISORDERLY CONDUCT c. 272 s. 53",0,4,"DISORDERLY CONDUCT","272","53","Yes","DISORDERLYCONDUCTc272s53"
"963","DISTURBING THE PEACE, SUBSQ. OFF. c272 §53",0,3,"DISTURBING THE PEACE, SUBSQ. OFF.","272","53","No","DISTURBINGTHEPEACESUBSQOFFc27253"
"964","DISTURBING THE PEACE, SUBSQ. OFF. c272 §53",0,3,"DISTURBING THE PEACE, SUBSQ. OFF.","272","53","Yes","DISTURBINGTHEPEACESUBSQOFFc27253"
"965","SEXUAL CONDUCT FOR FEE c272 §53A",14,404,"SEXUAL CONDUCT FOR FEE","272","53A","","SEXUALCONDUCTFORFEEc27253A"
"966","SEXUAL CONDUCT, PAY FOR c272 §53A",1,168,"SEXUAL CONDUCT, PAY FOR","272","53A","","SEXUALCONDUCTPAYFORc27253A"
"967","SEXUAL CONDUCT, PAY FOR OR FOR FEE c. 272 s. 53A",0,2,"SEXUAL CONDUCT, PAY FOR OR FOR FEE","272","53A","","SEXUALCONDUCTPAYFORORFORFEEc272s53A"
"968","PROSTITUTION, MAINTAIN HOUSE OF c272 §6",0,11,"PROSTITUTION, MAINTAIN HOUSE OF","272","6","","PROSTITUTIONMAINTAINHOUSEOFc2726"
"969","TRAMP, THREATS BY c272 §64",0,1,"TRAMP, THREATS BY","272","64","","TRAMPTHREATSBYc27264"
"970","PROSTITUTION, DERIVE SUPPORT FROM c272 §7",15,76,"PROSTITUTION, DERIVE SUPPORT FROM","272","7","Yes","PROSTITUTIONDERIVESUPPORTFROMc2727"
"971","PROSTITUTION, DERIVE SUPPORT FROM c. 272 s. 7",0,1,"PROSTITUTION, DERIVE SUPPORT FROM","272","7","Yes","PROSTITUTIONDERIVESUPPORTFROMc272s7"
"972","GRAVESTONE, VANDALIZE c272 §73",1,3,"GRAVESTONE, VANDALIZE","272","73","","GRAVESTONEVANDALIZEc27273"
"973","GRAVE PLANTING, VANDALIZE c272 §73",1,1,"GRAVE PLANTING, VANDALIZE","272","73","","GRAVEPLANTINGVANDALIZEc27273"
"974","GRAVE, DISTURB c272 §73",0,2,"GRAVE, DISTURB","272","73","","GRAVEDISTURBc27273"
"975","CEMETERY, VANDALIZE c272 §74",1,0,"CEMETERY, VANDALIZE","272","74","","CEMETERYVANDALIZEc27274"
"976","GRAVE FLOWERS/FLAG/TOKEN, REMOVE c272 §75",3,0,"GRAVE FLOWERS/FLAG/TOKEN, REMOVE","272","75","","GRAVEFLOWERSFLAGTOKENREMOVEc27275"
"977","ANIMAL, CRUELTY TO c272 §77",68,101,"ANIMAL, CRUELTY TO","272","77","Yes","ANIMALCRUELTYTOc27277"
"978","ANIMAL, CRUELTY TO BY CUSTODIAN c272 §77",2,6,"ANIMAL, CRUELTY TO BY CUSTODIAN","272","77","Yes","ANIMALCRUELTYTOBYCUSTODIANc27277"
"979","POLICE HORSE/DOG, MISTREAT/INTERFERE c272 §77A",5,3,"POLICE HORSE/DOG, MISTREAT/INTERFERE","272","77A","Yes","POLICEHORSEDOGMISTREATINTERFEREc27277A"
"980","PROSTITUTE, SOLICIT FOR c272 §8",2,12,"PROSTITUTE, SOLICIT FOR","272","8","Yes","PROSTITUTESOLICITFORc2728"
"981","ANIMAL FIGHT, KEEP/PROMOTE c272 §94",0,1,"ANIMAL FIGHT, KEEP/PROMOTE","272","94","Yes","ANIMALFIGHTKEEPPROMOTEc27294"
"982","WIRETAP, UNLAWFUL c272 §99(C)(1)",11,19,"WIRETAP, UNLAWFUL","272","99(C)(1)","","WIRETAPUNLAWFULc27299C1"
"983","WIRETAP, UNLAWFUL, ATTEMPT c272 §99(C)(1)",1,1,"WIRETAP, UNLAWFUL, ATTEMPT","272","99(C)(1)","","WIRETAPUNLAWFULATTEMPTc27299C1"
"984","WIRETAP, DISCLOSE CONTENTS OF c272 §99(C)(3) or (4)",2,0,"WIRETAP, DISCLOSE CONTENTS OF","272","99(C)(3) or (4)","","WIRETAPDISCLOSECONTENTSOFc27299C3or4"
"985","WIRETAP, POSSESS DEVICE FOR c272 §99(C)(5)",3,3,"WIRETAP, POSSESS DEVICE FOR","272","99(C)(5)","","WIRETAPPOSSESSDEVICEFORc27299C5"
"986","ACCESSORY BEFORE THE FACT c274 §2",5,10,"ACCESSORY BEFORE THE FACT","274","2","Yes","ACCESSORYBEFORETHEFACTc2742"
"987","ACCESSORY AFTER THE FACT c274 §4",26,83,"ACCESSORY AFTER THE FACT","274","4","Yes","ACCESSORYAFTERTHEFACTc2744"
"988","ACCESSORY AFTER THE FACT c. 274 s. 4",0,2,"ACCESSORY AFTER THE FACT","274","4","Yes","ACCESSORYAFTERTHEFACTc274s4"
"989","ATTEMPT TO COMMIT CRIME c274 §6",218,1503,"ATTEMPT TO COMMIT CRIME","274","6","No","ATTEMPTTOCOMMITCRIMEc2746"
"990","ATTEMPT TO COMMIT CRIME c274 §6",218,1503,"ATTEMPT TO COMMIT CRIME","274","6","Yes","ATTEMPTTOCOMMITCRIMEc2746"
"991","ATTEMPT TO COMMIT CRIME, HABITUAL c274 §6",2,0,"ATTEMPT TO COMMIT CRIME, HABITUAL","274","6","No","ATTEMPTTOCOMMITCRIMEHABITUALc2746"
"992","ATTEMPT TO COMMIT CRIME, HABITUAL c274 §6",2,0,"ATTEMPT TO COMMIT CRIME, HABITUAL","274","6","Yes","ATTEMPTTOCOMMITCRIMEHABITUALc2746"
"993","ATTEMPT TO COMMIT CRIME PUNISHABLE BY DEATH c. 274 s. 6",0,2,"ATTEMPT TO COMMIT CRIME PUNISHABLE BY DEATH","274","6","No","ATTEMPTTOCOMMITCRIMEPUNISHABLEBYDEATHc274s6"
"994","ATTEMPT TO COMMIT CRIME PUNISHABLE BY DEATH c. 274 s. 6",0,2,"ATTEMPT TO COMMIT CRIME PUNISHABLE BY DEATH","274","6","Yes","ATTEMPTTOCOMMITCRIMEPUNISHABLEBYDEATHc274s6"
"995","ATTEMPT TO COMMIT CRIME c. 274 s. 6 - 5 year felony or greater",0,3,"ATTEMPT TO COMMIT CRIME","274","6 - 5 year felony or greater","","ATTEMPTTOCOMMITCRIMEc274s65yearfelonyorgreater"
"996","ATTEMPT TO COMMIT CRIME c. 274 s. 6 - Larceny",0,5,"ATTEMPT TO COMMIT CRIME","274","6 - Larceny","","ATTEMPTTOCOMMITCRIMEc274s6Larceny"
"997","CONSPIRACY c274 §7",331,222,"CONSPIRACY","274","7","","CONSPIRACYc2747"
"998","AFFRAY c. 275 s. 14",0,99,"AFFRAY","275","14","","AFFRAYc275s14"
"999","THREAT TO COMMIT CRIME c275 §2",496,6967,"THREAT TO COMMIT CRIME","275","2","Yes","THREATTOCOMMITCRIMEc2752"
"1000","THREAT TO COMMIT CRIME c. 275 s. 2",0,15,"THREAT TO COMMIT CRIME","275","2","Yes","THREATTOCOMMITCRIMEc275s2"
"1001","FUGITIVE FROM JUSTICE ON GOV'S WARRANT c276 §19",2,31,"FUGITIVE FROM JUSTICE ON GOV'S WARRANT","276","19","Yes","FUGITIVEFROMJUSTICEONGOVSWARRANTc27619"
"1002","FUGITIVE, FAIL BRING BEFORE COURT c276 §19",1,0,"FUGITIVE, FAIL BRING BEFORE COURT","276","19","Yes","FUGITIVEFAILBRINGBEFORECOURTc27619"
"1003","FUGITIVE FROM JUSTICE ON COURT WARRANT c276 §20A",198,735,"FUGITIVE FROM JUSTICE ON COURT WARRANT","276","20A","","FUGITIVEFROMJUSTICEONCOURTWARRANTc27620A"
"1004","FUGITIVE FROM JUSTICE WITHOUT WARRANT c276 §20B",4,204,"FUGITIVE FROM JUSTICE WITHOUT WARRANT","276","20B","","FUGITIVEFROMJUSTICEWITHOUTWARRANTc27620B"
"1005","RECOGNIZANCE, FAIL APPEAR UPON c276 §82A",14,18,"RECOGNIZANCE, FAIL APPEAR UPON","276","82A","Yes","RECOGNIZANCEFAILAPPEARUPONc27682A"
"1006","HABITUAL OFFENDER c279 §25",0,4,"HABITUAL OFFENDER","279","25","","HABITUALOFFENDERc27925"
"1007","Solicitation to Commit a Felony C279S5",2,0,"SOLICITATION TO COMMIT A FELONY C279S5","279","5","","SolicitationtoCommitaFelonyC279S5"
"1008","DAY CARE, UNLICENSED c28A §11(a)",0,2,"DAY CARE, UNLICENSED","28A","11(a)","","DAYCAREUNLICENSEDc28A11a"
"1009","FISH/WILDLIFEHUNT/FISH VIOL 321 CMR §3.00",5,0,"FISH/WILDLIFEHUNT/FISH VIOL 321 CMR §3.00","321","3.00","","FISHWILDLIFEHUNTFISHVIOL321CMR300"
"1010","MARINE FISH¿REGUL OF CATCHES VIOL 322 CMR §6.00",0,2,"MARINE FISH¿REGUL OF CATCHES VIOL 322 CMR §6.00","322","6.00","","MARINEFISHREGULOFCATCHESVIOL322CMR600"
"1011","MARINE FISH¿STRIPED BASS VIOL 322 CMR §6.07",0,5,"MARINE FISH¿STRIPED BASS VIOL 322 CMR §6.07","322","6.07","","MARINEFISHSTRIPEDBASSVIOL322CMR607"
"1012","MARINE FISH¿COASTAL FISH VIOLATION 322 CMR §8.00",0,1,"MARINE FISH¿COASTAL FISH VIOLATION 322 CMR §8.00","322","8.00","","MARINEFISHCOASTALFISHVIOLATION322CMR800"
"1013","MBOAT EQUIPMENT VIOLATION 323 CMR §2.06",0,1,"MBOAT EQUIPMENT VIOLATION 323 CMR §2.06","323","2.06","","MBOATEQUIPMENTVIOLATION323CMR206"
"1014","MBOAT OPERATION VIOLATION 323 CMR §2.07",6,5,"MBOAT OPERATION VIOLATION 323 CMR §2.07","323","2.07","","MBOATOPERATIONVIOLATION323CMR207"
"1015","SNOW/REC VEHICLE VIOLATION * 323 CMR §3.03",1,4,"SNOW/REC VEHICLE VIOLATION * 323 CMR §3.03","323","3.03","","SNOWRECVEHICLEVIOLATION323CMR303"
"1016","SNOW/REC VEH¿NUMBER PLATE VIOLATION * 323 CMR §3.05",0,1,"SNOW/REC VEH¿NUMBER PLATE VIOLATION * 323 CMR §3.05","323","3.05","","SNOWRECVEHNUMBERPLATEVIOLATION323CMR305"
"1017","SNOW/REC VEH¿EQUIPMENT VIOLATION * 323 CMR §3.07",0,2,"SNOW/REC VEH¿EQUIPMENT VIOLATION * 323 CMR §3.07","323","3.07","","SNOWRECVEHEQUIPMENTVIOLATION323CMR307"
"1018","JET SKI VIOLATION 323 CMR §4.03",2,0,"JET SKI VIOLATION 323 CMR §4.03","323","4.03","","JETSKIVIOLATION323CMR403"
"1019","PUBLIC ACCESS REGS VIOLATION 324 CMR §2.03",1,0,"PUBLIC ACCESS REGS VIOLATION 324 CMR §2.03","324","2.03","","PUBLICACCESSREGSVIOLATION324CMR203"
"1020","MDC WATERSHEDNON-MV VIOLATION 350 CMR §11.09",61,0,"MDC WATERSHEDNON-MV VIOLATION 350 CMR §11.09","350","11.09","","MDCWATERSHEDNONMVVIOLATION350CMR1109"
"1021","MDC WATERSHEDMV VIOLATION  350 CMR §11.09",19,0,"MDC WATERSHEDMV VIOLATION  350 CMR §11.09","350","11.09","","MDCWATERSHEDMVVIOLATION350CMR1109"
"1022","MDC WATERSHED¿NON-MV VIOLATION 350 CMR §11.09",0,55,"MDC WATERSHED¿NON-MV VIOLATION 350 CMR §11.09","350","11.09","","MDCWATERSHEDNONMVVIOLATION350CMR1109"
"1023","MDC WATERSHED¿MV VIOLATION 350 CMR §11.09",0,5,"MDC WATERSHED¿MV VIOLATION 350 CMR §11.09","350","11.09","","MDCWATERSHEDMVVIOLATION350CMR1109"
"1024","MDC¿CHARLES RIVER BASIN VIOLATION 350 CMR §12.02",0,1,"MDC¿CHARLES RIVER BASIN VIOLATION 350 CMR §12.02","350","12.02","","MDCCHARLESRIVERBASINVIOLATION350CMR1202"
"1025","MDC WAY/RESERVNON-MV VIOLATION 350 CMR §2.01(2)",1,0,"MDC WAY/RESERVNON-MV VIOLATION 350 CMR §2.01(2)","350","2.01(2)","","MDCWAYRESERVNONMVVIOLATION350CMR2012"
"1026","MDC WAY/RESERV¿NON-MV VIOLATION 350 CMR §2.01(2)",0,39,"MDC WAY/RESERV¿NON-MV VIOLATION 350 CMR §2.01(2)","350","2.01(2)","","MDCWAYRESERVNONMVVIOLATION350CMR2012"
"1027","MDC WAY/RESERV¿ENTRY/EXIT, IMPROPER MV * 350 CMR §2.01(2)",0,14,"MDC WAY/RESERV¿ENTRY/EXIT, IMPROPER MV * 350 CMR §2.01(2)","350","2.01(2)","","MDCWAYRESERVENTRYEXITIMPROPERMV350CMR2012"
"1028","MDC WAY¿SOLICITING FROM PERSONS IN MVS 350 CMR §4.01",0,14,"MDC WAY¿SOLICITING FROM PERSONS IN MVS 350 CMR §4.01","350","350 CMR §4.01","","MDCWAYSOLICITINGFROMPERSONSINMVS350CMR401"
"1029","MDC WAYHITCHHIKE 350 CMR §4.01",1,0,"MDC WAYHITCHHIKE 350 CMR §4.01","350","4.01","","MDCWAYHITCHHIKE350CMR401"
"1030","MDC WAY¿$100 VIOLATION * 350 CMR §4.01",0,44,"MDC WAY¿$100 VIOLATION * 350 CMR §4.01","350","4.01","","MDCWAY100VIOLATION350CMR401"
"1031","MDC WAY¿$200 VIOLATION * 350 CMR §4.01",0,18,"MDC WAY¿$200 VIOLATION * 350 CMR §4.01","350","4.01","","MDCWAY200VIOLATION350CMR401"
"1032","MDC WAY¿$50 VIOLATION * 350 CMR §4.01",0,3,"MDC WAY¿$50 VIOLATION * 350 CMR §4.01","350","4.01","","MDCWAY50VIOLATION350CMR401"
"1033","MDC WAY¿$25 VIOLATION * 350 CMR §4.01",0,1,"MDC WAY¿$25 VIOLATION * 350 CMR §4.01","350","4.01","","MDCWAY25VIOLATION350CMR401"
"1034","MDC WAY¿SPEEDING * 350 CMR §4.01",0,1,"MDC WAY¿SPEEDING * 350 CMR §4.01","350","4.01","","MDCWAYSPEEDING350CMR401"
"1035","MEDICAL MARIJUANA CARD/CULTIVATION REG, FRAUD USE PROFIT c369 §14",0,1,"MEDICAL MARIJUANA CARD/CULTIVATION REG, FRAUD USE PROFIT","369","14","","MEDICALMARIJUANACARDCULTIVATIONREGFRAUDUSEPROFITc36914"
"1036","MUNICIPAL BY-LAW OR ORDINANCE VIOLATION c40 §21",38,951,"MUNICIPAL BY-LAW OR ORDINANCE VIOLATION","40","21","","MUNICIPALBYLAWORORDINANCEVIOLATIONc4021"
"1037","EXCAVATION BY-LAW VIOLATION c40 §21(19)",0,1,"EXCAVATION BY-LAW VIOLATION","40","21(19)","","EXCAVATIONBYLAWVIOLATIONc402119"
"1038","SEWER BY-LAW VIOLATION c40 §21(6)",0,2,"SEWER BY-LAW VIOLATION","40","21(6)","","SEWERBYLAWVIOLATIONc40216"
"1039","IDENTIFY SELF, REFUSE c40 §21D(c)",2,18,"IDENTIFY SELF, REFUSE","40","21D(c)","","IDENTIFYSELFREFUSEc4021Dc"
"1040","DEATH CERTIFICATE, FILE FALSE c46 §14",0,4,"DEATH CERTIFICATE, FILE FALSE","46","14","","DEATHCERTIFICATEFILEFALSEc4614"
"1041","FIRE IN OPEN, SET c48 §13",3,0,"FIRE IN OPEN, SET","48","13","Yes","FIREINOPENSETc4813"
"1042","MASS PIKE TANDEM¿CLOSER THAN 500 FT * 730 CMR §4.19",0,1,"MASS PIKE TANDEM¿CLOSER THAN 500 FT * 730 CMR §4.19","500 FT * 730","4.19","","MASSPIKETANDEMCLOSERTHAN500FT730CMR419"
"1043","MOTOR CARRIER SAFETY VIOLATION 540 CMR §14.03",9,19,"MOTOR CARRIER SAFETY VIOLATION 540 CMR §14.03","540","14.03","","MOTORCARRIERSAFETYVIOLATION540CMR1403"
"1044","HAZARDOUS MATERIALS TRANSPORT VIOL * 540 CMR §14.03",0,1,"HAZARDOUS MATERIALS TRANSPORT VIOL * 540 CMR §14.03","540","14.03","","HAZARDOUSMATERIALSTRANSPORTVIOL540CMR1403"
"1045","NUMBER PLATE, MISUSE DEALER/REPAIR 540 CMR §18.04(2)",4,8,"NUMBER PLATE, MISUSE DEALER/REPAIR 540 CMR §18.04(2)","540","18.04(2)","","NUMBERPLATEMISUSEDEALERREPAIR540CMR18042"
"1046","REGISTRATION STICKER MISSING * 540 CMR §2.05(6)(a)",36,68,"REGISTRATION STICKER MISSING * 540 CMR §2.05(6)(A)","540","2.05(6)(a)","","REGISTRATIONSTICKERMISSING540CMR2056a"
"1047","HEADLIGHTS, FAIL DIM * 540 CMR §2.12(2)",0,1,"HEADLIGHTS, FAIL DIM * 540 CMR §2.12(2)","540","2.12(2)","","HEADLIGHTSFAILDIM540CMR2122"
"1048","TRUCK FAIL DISPLAY OWNER¿S NAME * 540 CMR §2.22(1)",0,12,"TRUCK FAIL DISPLAY OWNER¿S NAME * 540 CMR §2.22(1)","540","2.22(1)","","TRUCKFAILDISPLAYOWNERSNAME540CMR2221"
"1049","REGISTRATION STICKER MISSING * 540 CMR §2.24(3)",0,2,"REGISTRATION STICKER MISSING * 540 CMR §2.24(3)","540","2.24(3)","","REGISTRATIONSTICKERMISSING540CMR2243"
"1050","HEADLIGHTS, FAIL DIM * 540 CMR §22.05(2)",47,17,"HEADLIGHTS, FAIL DIM * 540 CMR §22.05(2)","540","22.05(2)","","HEADLIGHTSFAILDIM540CMR22052"
"1051","HEADLIGHTS, ALTERNATING FLASHING * 540 CMR §22.05(2)",2,2,"HEADLIGHTS, ALTERNATING FLASHING * 540 CMR §22.05(2)","540","22.05(2)","","HEADLIGHTSALTERNATINGFLASHING540CMR22052"
"1052","AFTERMARKET LIGHTING, NONCOMPLIANT * 540 CMR §22.07",8,18,"AFTERMARKET LIGHTING, NONCOMPLIANT * 540 CMR §22.07","540","22.07","","AFTERMARKETLIGHTINGNONCOMPLIANT540CMR2207"
"1053","MOTOR VEH INSPECTION STATION VIOLATION 540 CMR §4.00",7,3,"MOTOR VEH INSPECTION STATION VIOLATION 540 CMR §4.00","540","4.00","","MOTORVEHINSPECTIONSTATIONVIOLATION540CMR400"
"1054","NOMINATION PAPER/PETITION, FALSE c56 §11",0,16,"NOMINATION PAPER/PETITION, FALSE","56","11","","NOMINATIONPAPERPETITIONFALSEc5611"
"1055","VOTE UNLAWFULLY, ATTEMPT TO c56 §26",0,1,"VOTE UNLAWFULLY, ATTEMPT TO","56","26","","VOTEUNLAWFULLYATTEMPTTOc5626"
"1056","CORI, DISSEMINATE/SEEK UNLAWFULLY c6 §178",1,5,"CORI, DISSEMINATE/SEEK UNLAWFULLY","6","178","Yes","CORIDISSEMINATESEEKUNLAWFULLYc6178"
"1057","SEX OFFENDER INFO, HOMELESS SHELTER FAIL PROVIDE c6 §178F or §178F½",1,3,"SEX OFFENDER INFO, HOMELESS SHELTER FAIL PROVIDE","6","178F or §178F½","","SEXOFFENDERINFOHOMELESSSHELTERFAILPROVIDEc6178For178F"
"1058","SEX OFFENDER FAIL TO REGISTER c6 §178H",10,0,"SEX OFFENDER FAIL TO REGISTER","6","178H","","SEXOFFENDERFAILTOREGISTERc6178H"
"1059","FAILURE TO REGISTER OR VERIFY REGISRATION INFO BY SEX OFFENDER c. 6 s. 178H",0,2,"FAILURE TO REGISTER OR VERIFY REGISRATION INFO BY SEX OFFENDER","6","178H","","FAILURETOREGISTERORVERIFYREGISRATIONINFOBYSEXOFFENDERc6s178H"
"1060","SEX OFFENDER FAIL TO REGISTER C6/178H (a)(i) HABITUAL OFFENDER",3,0,"SEX OFFENDER FAIL TO REGISTER C6/178H (A)(I) HABITUAL OFFENDER","6","178H (a)(i) HABITUAL OFFENDER","","SEXOFFENDERFAILTOREGISTERC6178HaiHABITUALOFFENDER"
"1061","SEX OFFENDER FAIL TO REGISTER C6/178H (a)(iii) HABITUAL OFFENDER",4,0,"SEX OFFENDER FAIL TO REGISTER C6/178H (A)(III) HABITUAL OFFENDER","6","178H (a)(iii) HABITUAL OFFENDER","","SEXOFFENDERFAILTOREGISTERC6178HaiiiHABITUALOFFENDER"
"1062","SEX OFFENDER FAIL TO REGISTER C6/178H (a)(iv) HABITUAL OFFENDER",5,0,"SEX OFFENDER FAIL TO REGISTER C6/178H (A)(IV) HABITUAL OFFENDER","6","178H (a)(iv) HABITUAL OFFENDER","","SEXOFFENDERFAILTOREGISTERC6178HaivHABITUALOFFENDER"
"1063","SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. c6 §178H(a)",25,282,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF.","6","178H(a)","","SEXOFFENDERFAILTOREGISTERSUBSQOFFc6178Ha"
