"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder","extra_criteria"
"856","INVOLUNTARY MANSLAUGHTER BY MOTOR VEHICLE c265 §13 1/2",1,0,"INVOLUNTARY MANSLAUGHTER BY MOTOR VEHICLE","265","13 1/2","No",0,1,NA
"857","INDECENT A&B ON CHILD UNDER 14 AFTER CERTAIN OFFENSES c265 §13B1/2",1,0,"INDECENT A&B ON CHILD UNDER 14 AFTER CERTAIN OFFENSES","265","13B1/2","No",0,0,NA
"858","A&B ON +60/DISABLED  c265 §13K(a1/2)",19,0,"A&B ON +60/DISABLED ","265","13K(a1/2)","",0,0,NA
"859","ARSON OF DWELLING HOUSE c266 §1",28,59,"ARSON OF DWELLING HOUSE","266","1","Yes",0,0,NA
"860","BURN BUILDING c266 §2",13,12,"BURN BUILDING","266","2","Yes",0,0,NA
"861","BURN PUBLIC BUILDING c266 §2",4,2,"BURN PUBLIC BUILDING","266","2","Yes",0,0,NA
"862","BURN BUILDING CONTENTS c266 §2",4,1,"BURN BUILDING CONTENTS","266","2","Yes",0,0,NA
"863","BURN PERSONAL PROPERTY c266 §5",19,0,"BURN PERSONAL PROPERTY","266","5","Yes",0,0,NA
"864","BURN MOTOR VEHICLE c266 §5",4,4,"BURN MOTOR VEHICLE","266","5","Yes",0,0,NA
"865","BURN LAND/TREE/LUMBER/PRODUCE c266 §5",2,2,"BURN LAND/TREE/LUMBER/PRODUCE","266","5","Yes",0,0,NA
"866","BURN PERSONALTY c266 §5",0,27,"BURN PERSONALTY","266","5","Yes",0,0,NA
"867","ARSON OF DWELLING HOUSE, ATTEMPTED c266 §5A",9,18,"ARSON OF DWELLING HOUSE, ATTEMPTED","266","5A","Yes",0,0,NA
"868","BURN BUILDING, ATTEMPT TO c266 §5A",4,7,"BURN BUILDING, ATTEMPT TO","266","5A","Yes",0,0,NA
"869","BURN MOTOR VEHICLE, ATTEMPT TO c266 §5A",1,1,"BURN MOTOR VEHICLE, ATTEMPT TO","266","5A","Yes",0,0,NA
"870","BURN WOODS c266 §7",7,0,"BURN WOODS","266","7","Yes",0,0,NA
"871","FIRE ON ANOTHER'S LAND, SET c266 §8",2,2,"FIRE ON ANOTHER'S LAND, SET","266","8","Yes",0,0,NA
"872","FIRE ON ANOTHER'S LAND, SET c266 §9",8,0,"FIRE ON ANOTHER'S LAND, SET","266","9","Yes",0,0,NA
"873","BURN BUILDING TO DEFRAUD INSURER c266 §10",0,4,"BURN BUILDING TO DEFRAUD INSURER","266","10","Yes",0,0,NA
"874","BURN BUILDING TO DEFRAUD INSURER, ATT c266 §10",0,1,"BURN BUILDING TO DEFRAUD INSURER, ATT","266","10","Yes",0,0,NA
"875","BURN MV TO DEFRAUD INSURER c266 §10",0,1,"BURN MV TO DEFRAUD INSURER","266","10","Yes",0,0,NA
"876","BURN PERSONALTY TO DEFRAUD INSURER, ATT c266 §10",0,1,"BURN PERSONALTY TO DEFRAUD INSURER, ATT","266","10","Yes",0,0,NA
"877","FIRE ALARM, DISABLE c266 §11",0,5,"FIRE ALARM, DISABLE","266","11","Yes",0,0,NA
"878","FIRE, HOTEL MANAGER FAIL RESPOND TO c266 §13A",0,1,"FIRE, HOTEL MANAGER FAIL RESPOND TO","266","13A","Yes",0,0,NA
"879","BURGLARY, ARMED c266 §14",10,29,"BURGLARY, ARMED","266","14","No",0,0,"armed"
"880","BURGLARY, UNARMED & ASSAULT c266 §14",6,35,"BURGLARY, UNARMED & ASSAULT","266","14",NA,0,0,"assault"
"881","BURGLARY, ARMED & ASSAULT c266 §14",3,10,"BURGLARY, ARMED & ASSAULT","266","14","No",0,0,"armed"
"882","BURGLARY, ARMED, SUBSQ.OFF. c266 §14",0,3,"BURGLARY, ARMED, SUBSQ.OFF.","266","14","No",0,0,"armed"
"883","BURGLARY, FIREARM-ARMED c266 §14",0,1,"BURGLARY, FIREARM-ARMED","266","14","No",0,0,"armed"
"884","BURGLARY, UNARMED c266 §15",66,258,"BURGLARY, UNARMED","266","15","Yes",0,0,NA
"885","BURGLARY, UNARMED, SUBSQ.OFF. c266 §15",0,1,"BURGLARY, UNARMED, SUBSQ.OFF.","266","15","Yes",0,0,NA
"886","B&E NIGHTTIME FOR FELONY c266 §16",395,1396,"B&E NIGHTTIME FOR FELONY","266","16","Yes",0,0,NA
"887","BREAK INTO DEPOSITORY c266 §16",43,53,"BREAK INTO DEPOSITORY","266","16","Yes",0,0,NA
"888","BREAK INTO DEPOSITORY, ATTEMPT TO c266 §16",7,12,"BREAK INTO DEPOSITORY, ATTEMPT TO","266","16","Yes",0,0,NA
"889","B&E NIGHTTIME FOR FELONY VEHICLE c266 §16",0,5,"B&E NIGHTTIME FOR FELONY VEHICLE","266","16","Yes",0,0,NA
"890","B&E NIGHTTIME FOR FELONY/B&E, OR ATTEMPT, DEPOSITORY c. 266 s. 16",0,2,"B&E NIGHTTIME FOR FELONY/B&E, OR ATTEMPT, DEPOSITORY","266","16","Yes",0,0,NA
"891","B&E FOR MISDEMEANOR c266 §16A",380,536,"B&E FOR MISDEMEANOR","266","16A","Yes",0,0,NA
"892","B&E FOR MISDEMEANOR c. 266 s. 16A",0,2,"B&E FOR MISDEMEANOR","266","16A","Yes",0,0,NA
"893","B&E DAYTIME FOR FELONY, PERSON IN FEAR c266 §17",18,138,"B&E DAYTIME FOR FELONY, PERSON IN FEAR","266","17","Yes",0,0,"unarmed"
"894","ENTER AT NIGHT FOR FELONY,PERSON IN FEAR c266 §17",3,63,"ENTER AT NIGHT FOR FELONY,PERSON IN FEAR","266","17","Yes",0,0,"unarmed"
"895","B&E DAYTIME FOR FELONY, ARMED, PERSON IN FEAR c266 §17",1,7,"B&E DAYTIME FOR FELONY, ARMED, PERSON IN FEAR","266","17","No",0,0,"armed"
"896","ENTER AT NIGHT FOR FELONY, ARMED, PERSON IN FEAR c266 §17",0,2,"ENTER AT NIGHT FOR FELONY, ARMED, PERSON IN FEAR","266","17","No",0,0,"armed"
"897","B&E DAYTIME FOR FELONY c266 §18",269,1100,"B&E DAYTIME FOR FELONY","266","18","Yes",0,0,"unarmed"
"898","ENTER DWELLING AT NIGHT FOR FELONY c266 §18",5,180,"ENTER DWELLING AT NIGHT FOR FELONY","266","18","Yes",0,0,"unarmed"
"899","B&E DAYTIME FOR FELONY, ARMED c266 §18",3,8,"B&E DAYTIME FOR FELONY, ARMED","266","18","No",0,0,"armed"
"900","ENTER DWELLING AT NIGHT FOR FELONY, ARMED c266 §18",0,2,"ENTER DWELLING AT NIGHT FOR FELONY, ARMED","266","18","No",0,0,"armed"
"901","B&E DAYTIME FOR FELONY c266 §18 - HABITUAL",4,0,"B&E DAYTIME FOR FELONY","266","18 - HABITUAL","Yes",0,0,NA
"902","ENTER DWELLING FOR FELONY BY FALSE PRETENSES c266 §18A",1,8,"ENTER DWELLING FOR FELONY BY FALSE PRETENSES","266","18A","Yes",0,0,NA
"903","RAILROAD CAR, B&E FOR FELONY c266 §19",0,3,"RAILROAD CAR, B&E FOR FELONY","266","19","Yes",0,0,NA
"904","RAILROAD CAR, ENTER AT NIGHT FOR FELONY c266 §19",0,1,"RAILROAD CAR, ENTER AT NIGHT FOR FELONY","266","19","Yes",0,0,NA
"905","LARCENY FROM BUILDING c266 §20",184,1495,"LARCENY FROM BUILDING","266","20","Yes",0,0,NA
"906","BOAT, LARCENY FROM c266 §20",0,3,"BOAT, LARCENY FROM","266","20","Yes",0,0,NA
"907","RAILROAD CAR, LARCENY FROM c266 §20",0,1,"RAILROAD CAR, LARCENY FROM","266","20","Yes",0,0,NA
"908","LARCENY FROM BUILDING c266 §20 - HABITUAL",2,0,"LARCENY FROM BUILDING","266","20 - HABITUAL","",0,0,NA
"909","TRUCK, B&E FOR FELONY c266 §20A",2,5,"TRUCK, B&E FOR FELONY","266","20A","Yes",0,0,NA
"910","TRUCK, ENTER FOR FELONY c266 §20A",0,5,"TRUCK, ENTER FOR FELONY","266","20A","Yes",0,0,NA
"911","TRUCK, LARCENY FROM c266 §20B",0,9,"TRUCK, LARCENY FROM","266","20B","Yes",0,0,NA
"912","STOLEN PROPERTY, REFUSE RETURN c266 §21",0,1,"STOLEN PROPERTY, REFUSE RETURN","266","21","",0,0,NA
"913","POULTRY, B&E OR ENTER TO STEAL c266 §22",0,1,"POULTRY, B&E OR ENTER TO STEAL","266","22","",0,0,NA
"914","LARCENY FROM PERSON c. 266 s. 25",0,22,"LARCENY FROM PERSON","266","25","Yes",0,0,"not on elderly"
"915","LARCENY FROM PERSON +65 c. 266 s. 25",0,4,"LARCENY FROM PERSON +65","266","25","No",0,0,"on elderly"
"916","LARCENY FROM PERSON +65 c266 §25(a)",14,50,"LARCENY FROM PERSON +65","266","25(a)","",0,0,NA
"917","LARCENY FROM PERSON +65, SUBSQ.OFF. c266 §25(a)",0,7,"LARCENY FROM PERSON +65, SUBSQ.OFF.","266","25(a)","",0,0,NA
"918","LARCENY FROM PERSON c266 §25(b)",97,710,"LARCENY FROM PERSON","266","25(b)","",0,0,NA
"919","TOOLS, LARCENY OF CONSTRUCTION c266 §27",0,7,"TOOLS, LARCENY OF CONSTRUCTION","266","27","Yes",0,0,NA
"920","TOOLS, LARCENY OF CONSTRUCTION, SUBSQ. c266 §27",0,2,"TOOLS, LARCENY OF CONSTRUCTION, SUBSQ.","266","27","Yes",0,0,NA
"921","MOTOR VEH TO DEFRAUD, REMOVE c266 §27A",0,5,"MOTOR VEH TO DEFRAUD, REMOVE","266","27A","",0,0,NA
"922","MOTOR VEH, MALICIOUS DAMAGE TO c266 §28(a)",187,472,"MOTOR VEH, MALICIOUS DAMAGE TO","266","28(a)","Yes",0,0,NA
"923","MOTOR VEH, LARCENY OF c266 §28(a)",107,373,"MOTOR VEH, LARCENY OF","266","28(a)","Yes",0,0,NA
"924","MOTOR VEH, RECEIVE STOLEN c266 §28(a)",53,1303,"MOTOR VEH, RECEIVE STOLEN","266","28(a)","Yes",0,0,NA
"925","MOTOR VEH, LARCENY OF, SUBSQ.OFF. c266 §28(a)",3,15,"MOTOR VEH, LARCENY OF, SUBSQ.OFF.","266","28(a)","Yes",0,0,NA
"926","MOTOR VEH, RECEIVE STOLEN, SUBSQ.OFF. c266 §28(a)",3,108,"MOTOR VEH, RECEIVE STOLEN, SUBSQ.OFF.","266","28(a)","Yes",0,0,NA
"927","MOTOR VEH, TAKING & STEALING PARTS c266 §28(a)",2,15,"MOTOR VEH, TAKING & STEALING PARTS","266","28(a)","Yes",0,0,NA
"928","MOTOR VEH, MALICIOUS DAMAGE TO,SUBSQ.OFF c266 §28(a)",0,3,"MOTOR VEH, MALICIOUS DAMAGE TO,SUBSQ.OFF","266","28(a)","Yes",0,0,NA
"929","MOTOR VEH, TAKING & STEALING PARTS,SUBSQ. c266 §28(a)",0,1,"MOTOR VEH, TAKING & STEALING PARTS,SUBSQ.","266","28(a)","Yes",0,0,NA
"930","MOTOR VEH, LARCENY OF/MALICIOUS DAMAGE/RECEIVE STOLEN/TAKE AND STEAL PARTS c. 266 s. 28(a)",0,1,"MOTOR VEH, LARCENY OF/MALICIOUS DAMAGE/RECEIVE STOLEN/TAKE AND STEAL PARTS","266","28(a)","Yes",0,0,NA
"931","MOTOR VEH THIEF, CONCEAL c266 §28(b)",0,16,"MOTOR VEH THIEF, CONCEAL","266","28(b)","Yes",0,0,NA
"932","LARCENY, ATTEMPTED c266 §30",0,11,"LARCENY, ATTEMPTED","266","30","",0,0,NA
"933","LARCENY OVER $250 c. 266 s. 30",0,4,"LARCENY OVER $250","266","30","",0,0,NA
"934","FIREARM, LARCENY OF c. 266 s. 30",0,1,"FIREARM, LARCENY OF","266","30","",0,0,NA
"935","SHOPLIFTING BY CONCEALING MDSE c266 §30A",494,1501,"SHOPLIFTING BY CONCEALING MDSE","266","30A","Yes",0,0,NA
"936","SHOPLIFTING BY ASPORTATION c266 §30A",449,2311,"SHOPLIFTING BY ASPORTATION","266","30A","Yes",0,0,NA
"937","SHOPLIFTING $100+ BY ASPORTATION c266 §30A",162,431,"SHOPLIFTING $100+ BY ASPORTATION","266","30A","Yes",0,0,NA
"938","SHOPLIFTING BY CONCEALING MDSE, 3RD OFF. c266 §30A",117,182,"SHOPLIFTING BY CONCEALING MDSE, 3RD OFF.","266","30A","Yes",0,0,NA
"939","SHOPLIFTING BY ASPORTATION, 3RD OFF. c266 §30A",114,207,"SHOPLIFTING BY ASPORTATION, 3RD OFF.","266","30A","Yes",0,0,NA
"940","SHOPLIFTING $100+ BY CONCEALING MDSE c266 §30A",105,324,"SHOPLIFTING $100+ BY CONCEALING MDSE","266","30A","Yes",0,0,NA
"941","SHOPLIFTING BY CONCEALING MDSE, 2ND OFF. c266 §30A",70,81,"SHOPLIFTING BY CONCEALING MDSE, 2ND OFF.","266","30A","Yes",0,0,NA
"942","SHOPLIFTING BY ASPORTATION, 2ND OFF. c266 §30A",64,119,"SHOPLIFTING BY ASPORTATION, 2ND OFF.","266","30A","Yes",0,0,NA
"943","SHOPLIFTING BY PRICE TAG TAMPERING c266 §30A",22,27,"SHOPLIFTING BY PRICE TAG TAMPERING","266","30A","Yes",0,0,NA
"944","SHOPLIFTING $250+ BY ASPORTATION c266 §30A",11,16,"SHOPLIFTING $250+ BY ASPORTATION","266","30A","Yes",0,0,NA
"945","SHOPLIFTING $250+ BY CONCEALING MDSE c266 §30A",6,20,"SHOPLIFTING $250+ BY CONCEALING MDSE","266","30A","Yes",0,0,NA
"946","SHOPLIFTING $100+ BY PRICE TAG TAMPERING c266 §30A",2,11,"SHOPLIFTING $100+ BY PRICE TAG TAMPERING","266","30A","Yes",0,0,NA
"947","SHOPLIFTING BY RECORDING FALSE VALUE c266 §30A",2,3,"SHOPLIFTING BY RECORDING FALSE VALUE","266","30A","Yes",0,0,NA
"948","SHOPLIFTING OF SHOPPING CART c266 §30A",1,3,"SHOPLIFTING OF SHOPPING CART","266","30A","Yes",0,0,NA
"949","SHOPLIFTING BY CONTAINER SWITCHING c266 §30A",1,2,"SHOPLIFTING BY CONTAINER SWITCHING","266","30A","Yes",0,0,NA
"950","SHOPLIFTING BY PRICE TAG TAMPERING, 3RD c266 §30A",1,1,"SHOPLIFTING BY PRICE TAG TAMPERING, 3RD","266","30A","Yes",0,0,NA
"951","SHOPLIFTING BY CONTAINER SWITCHING, 2ND c266 §30A",0,3,"SHOPLIFTING BY CONTAINER SWITCHING, 2ND","266","30A","Yes",0,0,NA
"952","SHOPLIFTING BY PRICE TAG TAMPERING, 2ND c266 §30A",0,2,"SHOPLIFTING BY PRICE TAG TAMPERING, 2ND","266","30A","Yes",0,0,NA
"953","SHOPLIFTING $100+ BY RECORDING FALSE VALUE c266 §30A",0,1,"SHOPLIFTING $100+ BY RECORDING FALSE VALUE","266","30A","Yes",0,0,NA
"954","SHOPLIFTING $100+ OF SHOPPING CART c266 §30A",0,1,"SHOPLIFTING $100+ OF SHOPPING CART","266","30A","Yes",0,0,NA
"955","SHOPLIFTING BY RECORDING FALSE VALUE,3RD c266 §30A",0,1,"SHOPLIFTING BY RECORDING FALSE VALUE,3RD","266","30A","Yes",0,0,NA
"956","SHOPLIFTING $250+ BY PRICE TAG TAMPERING c266 §30A",0,1,"SHOPLIFTING $250+ BY PRICE TAG TAMPERING","266","30A","Yes",0,0,NA
"957","SHOPLIFTING; OVER $100.00 c. 266 s. 30A",0,1,"SHOPLIFTING; OVER $100.00","266","30A","Yes",0,0,NA
"958","UNLAWFUL DEACTIVATION/REMOVAL THEFT PROTECTION DEVICE c266 §30B",0,2,"UNLAWFUL DEACTIVATION/REMOVAL THEFT PROTECTION DEVICE","266","30B","",0,0,NA
"959","Possession of a theft detection shielding device w/ intent to steal c266 §30B(b)",1,0,"POSSESSION OF A THEFT DETECTION SHIELDING DEVICE W/ INTENT TO STEAL","266","30B(b)","",0,0,NA
"960","Distribution of a theft device deactivator c266 §30B(c)",3,0,"DISTRIBUTION OF A THEFT DEVICE DEACTIVATOR","266","30B(c)","",0,0,NA
"961","Deactivation or removal of a theft detection w/ the intent to steal c266 §30B(e)",26,0,"DEACTIVATION OR REMOVAL OF A THEFT DETECTION W/ THE INTENT TO STEAL","266","30B(e)","",0,0,NA
"962","Forging retail receipt, prict ticket, or UPC label w/ intent to defraud c266 §30C",15,0,"FORGING RETAIL RECEIPT, PRICT TICKET, OR UPC LABEL W/ INTENT TO DEFRAUD","266","30C","",0,0,NA
"963","LARCENY BY SINGLE SCHEME, ATTEMPTED c266 §30L",0,16,"LARCENY BY SINGLE SCHEME, ATTEMPTED","266","30L","",0,0,NA
"964","Larceny over $250, Habitual Crim, c266,s30",1,0,"LARCENY OVER $250, HABITUAL CRIM,","266,","30","",0,0,NA
"965","Shoplifting, c266,s30A",1,0,"SHOPLIFTING,","266,","30A","",0,0,NA
"966","SIGNATURE, OBTAINING BY FALSE PRETENSE c266 §31",2,1,"SIGNATURE, OBTAINING BY FALSE PRETENSE","266","31","",0,0,NA
"967","ATTEMPTED LARCENY BY CHECK c266 §37",0,19,"ATTEMPTED LARCENY BY CHECK","266","37","Yes",0,0,NA
"968","CREDIT CARD, FALSE STATEMENT TO OBTAIN c266 §37B(a)",5,18,"CREDIT CARD, FALSE STATEMENT TO OBTAIN","266","37B(a)","",0,0,NA
"969","CREDIT CARD, LARCENY OF c266 §37B(b)",95,106,"CREDIT CARD, LARCENY OF","266","37B(b)","",0,0,NA
"970","CREDIT CARD, RECEIVE STOLEN c266 §37B(b)",48,228,"CREDIT CARD, RECEIVE STOLEN","266","37B(b)","",0,0,NA
"971","CREDIT CARD, RECEIVE LOST c266 §37B(c)",7,23,"CREDIT CARD, RECEIVE LOST","266","37B(c)","",0,0,NA
"972","CREDIT CARD, NON-CARDHOLDER SIGN c266 §37B(e)",2,8,"CREDIT CARD, NON-CARDHOLDER SIGN","266","37B(e)","",0,0,NA
"973","CREDIT CARD, IMPROPER USE UNDER $250  c266 §37B(f)",129,0,"CREDIT CARD, IMPROPER USE UNDER $250 ","266","37B(f)","",0,0,NA
"974","CREDIT CARD, IMPROPER USE UNDER $1200  c266 §37B(f)",3,0,"CREDIT CARD, IMPROPER USE UNDER $1200 ","266","37B(f)","",0,0,NA
"975","CREDIT CARD, IMPROPER USE UNDER $250 c266 §37B(f)",0,99,"CREDIT CARD, IMPROPER USE UNDER $250","266","37B(f)","",0,0,NA
"976","CREDIT CARD, IMPROPER USE UNDER $1200 c266 §37B(f)",0,4,"CREDIT CARD, IMPROPER USE UNDER $1200","266","37B(f)","",0,0,NA
"977","CREDIT CARD FRAUD UNDER $250 c266 §37B(g)",29,403,"CREDIT CARD FRAUD UNDER $250","266","37B(g)","",0,0,NA
"978","CREDIT CARD FRAUD UNDER $1200 c266 §37B(g)",9,12,"CREDIT CARD FRAUD UNDER $1200","266","37B(g)","",0,0,NA
"979","CREDIT CARD, ALLOW IMPROP USE UNDER $250 c266 §37B(h)",0,11,"CREDIT CARD, ALLOW IMPROP USE UNDER $250","266","37B(h)","",0,0,NA
"980","CREDIT CARD, ALLOW IMPROP USE UNDER $1200 c266 §37B(h)",0,2,"CREDIT CARD, ALLOW IMPROP USE UNDER $1200","266","37B(h)","",0,0,NA
"981","CREDIT CARD FRAUD UNDER $250 BY MERCHANT c266 §37B(i)",0,4,"CREDIT CARD FRAUD UNDER $250 BY MERCHANT","266","37B(i)","",0,0,NA
"982","CREDIT CARD FRAUD UNDER $1200 BY MERCHANT c266 §37B(i)",0,1,"CREDIT CARD FRAUD UNDER $1200 BY MERCHANT","266","37B(i)","",0,0,NA
"983","CREDIT CARD, RECEIVE IMPROP UNDER $250 c266 §37B(j)",2,18,"CREDIT CARD, RECEIVE IMPROP UNDER $250","266","37B(j)","",0,0,NA
"984","CREDIT CARD, FALSE REPORT OF LOST c266 §37B(k)",0,3,"CREDIT CARD, FALSE REPORT OF LOST","266","37B(k)","",0,0,NA
"985","CREDIT CARD, RECEIVE IMPROPER c266 §37C(b)",3,15,"CREDIT CARD, RECEIVE IMPROPER","266","37C(b)","",0,0,NA
"986","CREDIT CARD, FORGE OR UTTER FORGED c266 §37C(c)",14,149,"CREDIT CARD, FORGE OR UTTER FORGED","266","37C(c)","",0,0,NA
"987","CREDIT CARD, IMPROPER USE OVER $250 c266 §37C(d)",51,120,"CREDIT CARD, IMPROPER USE OVER $250","266","37C(d)","",0,0,NA
"988","CREDIT CARD, IMPROPER USE OVER $1200 c266 §37C(d)",0,3,"CREDIT CARD, IMPROPER USE OVER $1200","266","37C(d)","",0,0,NA
"989","CREDIT CARD FRAUD OVER $250 c266 §37C(e)",47,360,"CREDIT CARD FRAUD OVER $250","266","37C(e)","",0,0,NA
"990","CREDIT CARD FRAUD OVER $1200 c266 §37C(e)",2,8,"CREDIT CARD FRAUD OVER $1200","266","37C(e)","",0,0,NA
"991","CREDIT CARD FRAUD OVER $250 BY MERCHANT c266 §37C(g)",0,4,"CREDIT CARD FRAUD OVER $250 BY MERCHANT","266","37C(g)","",0,0,NA
"992","CREDIT CARD, RECEIVE IMPROP OVER $250 c266 §37C(h)",0,10,"CREDIT CARD, RECEIVE IMPROP OVER $250","266","37C(h)","",0,0,NA
"993","CREDIT CARD, POSSESS BLANK c266 §37C(i)",0,7,"CREDIT CARD, POSSESS BLANK","266","37C(i)","",0,0,NA
"994","CREDIT CARD, POSSESS COUNTERFEIT PRESS c266 §37C(j)",0,23,"CREDIT CARD, POSSESS COUNTERFEIT PRESS","266","37C(j)","",0,0,NA
"995","TELEPHONE CREDIT CARD SYSTEM, PUBLISH c266 §37D",3,0,"TELEPHONE CREDIT CARD SYSTEM, PUBLISH","266","37D","",0,0,NA
"996","IDENTITY FRAUD c266 §37E",76,541,"IDENTITY FRAUD","266","37E","",0,0,NA
"997","DEFRAUDING, POSE AS ANOTHER W/O EXPRESS AUTHORIZATION c. 266 s. 37E",0,1,"DEFRAUDING, POSE AS ANOTHER W/O EXPRESS AUTHORIZATION","266","37E","",0,0,NA
"998","WILL, STEAL/DESTROY/CONCEAL c266 §39",0,3,"WILL, STEAL/DESTROY/CONCEAL","266","39","",0,0,NA
"999","THIEF, COMMON & NOTORIOUS c266 §40",30,92,"THIEF, COMMON & NOTORIOUS","266","40","",0,0,NA
"1000","THIEF, COMMON & NOTORIOUS-HABITUAL c266 §40",2,0,"THIEF, COMMON & NOTORIOUS-HABITUAL","266","40","",0,0,NA
"1001","LARCENY OVER $250, COMMON AND NOTORIOUS THIEF c266 §40",1,0,"LARCENY OVER $250, COMMON AND NOTORIOUS THIEF","266","40","",0,0,NA
"1002","BICYCLE, LARCENY OF, SUBSQ.OFF. c266 §41",0,3,"BICYCLE, LARCENY OF, SUBSQ.OFF.","266","41","",0,0,NA
"1003","BANK BILL PAPER, LARCENY OF c266 §42",0,1,"BANK BILL PAPER, LARCENY OF","266","42","",0,0,NA
"1004","BURGLARIOUS INSTRUMENT, POSSESS c266 §49",90,903,"BURGLARIOUS INSTRUMENT, POSSESS","266","49","Yes",0,0,NA
"1005","BURGLARIOUS INSTRUMENT, MAKE c266 §49",1,12,"BURGLARIOUS INSTRUMENT, MAKE","266","49","Yes",0,0,NA
"1006","MOTOR VEH MASTER KEY, POSSESS c266 §49",0,4,"MOTOR VEH MASTER KEY, POSSESS","266","49","Yes",0,0,NA
"1007","BANK, EMBEZZLEMENT FROM c266 §52",0,2,"BANK, EMBEZZLEMENT FROM","266","52","",0,0,NA
"1008","BANK OFFICER/EMPLOYEE, MISCONDUCT BY c266 §53A",1,0,"BANK OFFICER/EMPLOYEE, MISCONDUCT BY","266","53A","",0,0,NA
"1009","FIDUCIARY, EMBEZZLEMENT/MISAPPLICATN BY c266 §57",2,56,"FIDUCIARY, EMBEZZLEMENT/MISAPPLICATN BY","266","57","",0,0,NA
"1010","RECEIVE STOLEN PROPERTY +$250 c266 §60",300,2391,"RECEIVE STOLEN PROPERTY +$250","266","60","Yes",0,0,NA
"1011","RECEIVE STOLEN PROPERTY -$250 c266 §60",242,1140,"RECEIVE STOLEN PROPERTY -$250","266","60","Yes",0,0,NA
"1012","RECEIVE STOLEN PROPERTY -$1200 c266 §60",54,71,"RECEIVE STOLEN PROPERTY -$1200","266","60","Yes",0,0,NA
"1013","RECEIVE STOLEN PROPERTY +$1200 c266 §60",7,19,"RECEIVE STOLEN PROPERTY +$1200","266","60","Yes",0,0,NA
"1014","RECEIVE STOLEN PROPERTY -$250, SUBSQ.OFF c266 §60",6,97,"RECEIVE STOLEN PROPERTY -$250, SUBSQ.OFF","266","60","Yes",0,0,NA
"1015","RECEIVE STOLEN PROPERTY -$1200, SUBSQ.OFF c266 §60",2,0,"RECEIVE STOLEN PROPERTY -$1200, SUBSQ.OFF","266","60","Yes",0,0,NA
"1016","RECEIVE STOLEN PROPERTY +$250, SUBSQ OFF c266 §60",1,0,"RECEIVE STOLEN PROPERTY +$250, SUBSQ OFF","266","60","Yes",0,0,NA
"1017","RECEIVE STOLEN PROPERTY +250, SUBSQ.OFF c266 §60",0,17,"RECEIVE STOLEN PROPERTY +250, SUBSQ.OFF","266","60","Yes",0,0,NA
"1018","RECEIVE STOLEN PROPERTY -$1200, SUBSQ. OFF c266 §60",0,3,"RECEIVE STOLEN PROPERTY -$1200, SUBSQ. OFF","266","60","Yes",0,0,NA
"1019","RECEIVE STOLEN OR FALSE-TRADED PROPERTY +$250 c. 266 s. 60",0,1,"RECEIVE STOLEN OR FALSE-TRADED PROPERTY +$250","266","60","Yes",0,0,NA
"1020","RECEIVE FALSE-TRADED PROPERTY +$250 c266 §60",0,1,"RECEIVE FALSE-TRADED PROPERTY +$250","266","60","Yes",0,0,NA
"1021","TRADE SECRET, BUY/SELL/RECEIVE STOLEN c266 §60A",0,2,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN","266","60A","",0,0,NA
"1022","TRADE SECRET, BUY/SELL/RECEIVE STOLEN c. 266 s. 60A",0,1,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN","266","60A","",0,0,NA
"1023","RECEIVER, COMMON c266 §62",2,3,"RECEIVER, COMMON","266","62","",0,0,NA
"1024","BOAT/NON-MOTOR VEH, USE WITHOUT AUTHORITY c266 §63",0,5,"BOAT/NON-MOTOR VEH, USE WITHOUT AUTHORITY","266","63","Yes",0,0,NA
"1025","HIRING VEHICLE, FRAUD IN c266 §64",1,7,"HIRING VEHICLE, FRAUD IN","266","64","",0,0,NA
"1026","BOOKS, FALSIFY/OMIT ENTRY IN c266 §67",1,27,"BOOKS, FALSIFY/OMIT ENTRY IN","266","67","",0,0,NA
"1027","FALSE CLAIM TO GOVERNMENT AGENCY c266 §67B",0,7,"FALSE CLAIM TO GOVERNMENT AGENCY","266","67B","",0,0,NA
"1028","FALSE PRETENSE OF TRADE, OBTAIN GOODS BY c266 §73",1,1,"FALSE PRETENSE OF TRADE, OBTAIN GOODS BY","266","73","Yes",0,0,NA
"1029","FRAUD/CHEAT, GROSS c266 §76",0,8,"FRAUD/CHEAT, GROSS","266","76","Yes",0,0,NA
"1030","FRAUD/CHEAT, GROSS c. 266 s. 76",0,1,"FRAUD/CHEAT, GROSS","266","76","Yes",0,0,NA
"1031","GOLD, FRAUD IN FINENESS OF c266 §78",0,2,"GOLD, FRAUD IN FINENESS OF","266","78","",0,0,NA
"1032","LEASED PERSONALTY, SELL c266 §84",1,0,"LEASED PERSONALTY, SELL","266","84","",0,0,NA
"1033","LEASED PERSONALTY, FAIL RETURN c266 §87",7,27,"LEASED PERSONALTY, FAIL RETURN","266","87","",0,0,NA
"1034","LEASED PERSONALTY, CONCEAL/SELL/PLEDGE c266 §87",0,12,"LEASED PERSONALTY, CONCEAL/SELL/PLEDGE","266","87","",0,0,NA
