"","X","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder"
"890",483,"BURGLARY, ARMED & ASSAULT c266 §14",3,10,"BURGLARY, ARMED & ASSAULT","266","14","No",0,0
"891",484,"BURGLARY, ARMED, SUBSQ.OFF. c266 §14",0,3,"BURGLARY, ARMED, SUBSQ.OFF.","266","14","Yes",0,0
"892",485,"BURGLARY, ARMED, SUBSQ.OFF. c266 §14",0,3,"BURGLARY, ARMED, SUBSQ.OFF.","266","14","No",0,0
"893",486,"BURGLARY, FIREARM-ARMED c266 §14",0,1,"BURGLARY, FIREARM-ARMED","266","14","Yes",0,0
"894",487,"BURGLARY, FIREARM-ARMED c266 §14",0,1,"BURGLARY, FIREARM-ARMED","266","14","No",0,0
"895",495,"BURGLARY, UNARMED c266 §15",66,258,"BURGLARY, UNARMED","266","15","Yes",0,0
"896",496,"BURGLARY, UNARMED, SUBSQ.OFF. c266 §15",0,1,"BURGLARY, UNARMED, SUBSQ.OFF.","266","15","Yes",0,0
"897",497,"B&E NIGHTTIME FOR FELONY c266 §16",395,1396,"B&E NIGHTTIME FOR FELONY","266","16","Yes",0,0
"898",498,"BREAK INTO DEPOSITORY c266 §16",43,53,"BREAK INTO DEPOSITORY","266","16","Yes",0,0
"899",499,"BREAK INTO DEPOSITORY, ATTEMPT TO c266 §16",7,12,"BREAK INTO DEPOSITORY, ATTEMPT TO","266","16","Yes",0,0
"900",500,"B&E NIGHTTIME FOR FELONY VEHICLE c266 §16",0,5,"B&E NIGHTTIME FOR FELONY VEHICLE","266","16","Yes",0,0
"901",501,"B&E NIGHTTIME FOR FELONY/B&E, OR ATTEMPT, DEPOSITORY c. 266 s. 16",0,2,"B&E NIGHTTIME FOR FELONY/B&E, OR ATTEMPT, DEPOSITORY","266","16","Yes",0,0
"902",502,"B&E FOR MISDEMEANOR c266 §16A",380,536,"B&E FOR MISDEMEANOR","266","16A","Yes",0,0
"903",503,"B&E FOR MISDEMEANOR c. 266 s. 16A",0,2,"B&E FOR MISDEMEANOR","266","16A","Yes",0,0
"904",504,"B&E DAYTIME FOR FELONY, PERSON IN FEAR c266 §17",18,138,"B&E DAYTIME FOR FELONY, PERSON IN FEAR","266","17","Yes",0,0
"905",505,"B&E DAYTIME FOR FELONY, PERSON IN FEAR c266 §17",18,138,"B&E DAYTIME FOR FELONY, PERSON IN FEAR","266","17","No",0,0
"906",506,"ENTER AT NIGHT FOR FELONY,PERSON IN FEAR c266 §17",3,63,"ENTER AT NIGHT FOR FELONY,PERSON IN FEAR","266","17","Yes",0,0
"907",507,"ENTER AT NIGHT FOR FELONY,PERSON IN FEAR c266 §17",3,63,"ENTER AT NIGHT FOR FELONY,PERSON IN FEAR","266","17","No",0,0
"908",508,"B&E DAYTIME FOR FELONY, ARMED, PERSON IN FEAR c266 §17",1,7,"B&E DAYTIME FOR FELONY, ARMED, PERSON IN FEAR","266","17","Yes",0,0
"909",509,"B&E DAYTIME FOR FELONY, ARMED, PERSON IN FEAR c266 §17",1,7,"B&E DAYTIME FOR FELONY, ARMED, PERSON IN FEAR","266","17","No",0,0
"910",510,"ENTER AT NIGHT FOR FELONY, ARMED, PERSON IN FEAR c266 §17",0,2,"ENTER AT NIGHT FOR FELONY, ARMED, PERSON IN FEAR","266","17","Yes",0,0
"911",511,"ENTER AT NIGHT FOR FELONY, ARMED, PERSON IN FEAR c266 §17",0,2,"ENTER AT NIGHT FOR FELONY, ARMED, PERSON IN FEAR","266","17","No",0,0
"912",512,"B&E DAYTIME FOR FELONY c266 §18",269,1100,"B&E DAYTIME FOR FELONY","266","18","Yes",0,0
"913",513,"B&E DAYTIME FOR FELONY c266 §18",269,1100,"B&E DAYTIME FOR FELONY","266","18","No",0,0
"914",514,"ENTER DWELLING AT NIGHT FOR FELONY c266 §18",5,180,"ENTER DWELLING AT NIGHT FOR FELONY","266","18","Yes",0,0
"915",515,"ENTER DWELLING AT NIGHT FOR FELONY c266 §18",5,180,"ENTER DWELLING AT NIGHT FOR FELONY","266","18","No",0,0
"916",516,"B&E DAYTIME FOR FELONY, ARMED c266 §18",3,8,"B&E DAYTIME FOR FELONY, ARMED","266","18","Yes",0,0
"917",517,"B&E DAYTIME FOR FELONY, ARMED c266 §18",3,8,"B&E DAYTIME FOR FELONY, ARMED","266","18","No",0,0
"918",518,"ENTER DWELLING AT NIGHT FOR FELONY, ARMED c266 §18",0,2,"ENTER DWELLING AT NIGHT FOR FELONY, ARMED","266","18","Yes",0,0
"919",519,"ENTER DWELLING AT NIGHT FOR FELONY, ARMED c266 §18",0,2,"ENTER DWELLING AT NIGHT FOR FELONY, ARMED","266","18","No",0,0
"920",520,"B&E DAYTIME FOR FELONY c266 §18 - HABITUAL",4,0,"B&E DAYTIME FOR FELONY","266","18 - HABITUAL","Yes",0,0
"921",521,"ENTER DWELLING FOR FELONY BY FALSE PRETENSES c266 §18A",1,8,"ENTER DWELLING FOR FELONY BY FALSE PRETENSES","266","18A","Yes",0,0
"922",522,"RAILROAD CAR, B&E FOR FELONY c266 §19",0,3,"RAILROAD CAR, B&E FOR FELONY","266","19","Yes",0,0
"923",523,"RAILROAD CAR, ENTER AT NIGHT FOR FELONY c266 §19",0,1,"RAILROAD CAR, ENTER AT NIGHT FOR FELONY","266","19","Yes",0,0
"924",527,"LARCENY FROM BUILDING c266 §20",184,1495,"LARCENY FROM BUILDING","266","20","Yes",0,0
"925",528,"BOAT, LARCENY FROM c266 §20",0,3,"BOAT, LARCENY FROM","266","20","Yes",0,0
"926",529,"RAILROAD CAR, LARCENY FROM c266 §20",0,1,"RAILROAD CAR, LARCENY FROM","266","20","Yes",0,0
"927",530,"LARCENY FROM BUILDING c266 §20 - HABITUAL",2,0,"LARCENY FROM BUILDING","266","20 - HABITUAL","",0,0
"928",531,"TRUCK, B&E FOR FELONY c266 §20A",2,5,"TRUCK, B&E FOR FELONY","266","20A","Yes",0,0
"929",532,"TRUCK, ENTER FOR FELONY c266 §20A",0,5,"TRUCK, ENTER FOR FELONY","266","20A","Yes",0,0
"930",533,"TRUCK, LARCENY FROM c266 §20B",0,9,"TRUCK, LARCENY FROM","266","20B","Yes",0,0
"931",534,"STOLEN PROPERTY, REFUSE RETURN c266 §21",0,1,"STOLEN PROPERTY, REFUSE RETURN","266","21","",0,0
"932",535,"POULTRY, B&E OR ENTER TO STEAL c266 §22",0,1,"POULTRY, B&E OR ENTER TO STEAL","266","22","",0,0
"933",536,"LARCENY FROM PERSON c. 266 s. 25",0,22,"LARCENY FROM PERSON","266","25","Yes",0,0
"934",537,"LARCENY FROM PERSON c. 266 s. 25",0,22,"LARCENY FROM PERSON","266","25","No",0,0
"935",538,"LARCENY FROM PERSON +65 c. 266 s. 25",0,4,"LARCENY FROM PERSON +65","266","25","Yes",0,0
"936",539,"LARCENY FROM PERSON +65 c. 266 s. 25",0,4,"LARCENY FROM PERSON +65","266","25","No",0,0
"937",540,"LARCENY FROM PERSON +65 c266 §25(a)",14,50,"LARCENY FROM PERSON +65","266","25(a)","",0,0
"938",541,"LARCENY FROM PERSON +65, SUBSQ.OFF. c266 §25(a)",0,7,"LARCENY FROM PERSON +65, SUBSQ.OFF.","266","25(a)","",0,0
"939",542,"LARCENY FROM PERSON c266 §25(b)",97,710,"LARCENY FROM PERSON","266","25(b)","",0,0
"940",543,"TOOLS, LARCENY OF CONSTRUCTION c266 §27",0,7,"TOOLS, LARCENY OF CONSTRUCTION","266","27","Yes",0,0
"941",544,"TOOLS, LARCENY OF CONSTRUCTION, SUBSQ. c266 §27",0,2,"TOOLS, LARCENY OF CONSTRUCTION, SUBSQ.","266","27","Yes",0,0
"942",545,"MOTOR VEH TO DEFRAUD, REMOVE c266 §27A",0,5,"MOTOR VEH TO DEFRAUD, REMOVE","266","27A","",0,0
"943",546,"MOTOR VEH, MALICIOUS DAMAGE TO c266 §28(a)",187,472,"MOTOR VEH, MALICIOUS DAMAGE TO","266","28(a)","Yes",0,0
"944",547,"MOTOR VEH, LARCENY OF c266 §28(a)",107,373,"MOTOR VEH, LARCENY OF","266","28(a)","Yes",0,0
"945",548,"MOTOR VEH, RECEIVE STOLEN c266 §28(a)",53,1303,"MOTOR VEH, RECEIVE STOLEN","266","28(a)","Yes",0,0
"946",549,"MOTOR VEH, LARCENY OF, SUBSQ.OFF. c266 §28(a)",3,15,"MOTOR VEH, LARCENY OF, SUBSQ.OFF.","266","28(a)","Yes",0,0
"947",550,"MOTOR VEH, RECEIVE STOLEN, SUBSQ.OFF. c266 §28(a)",3,108,"MOTOR VEH, RECEIVE STOLEN, SUBSQ.OFF.","266","28(a)","Yes",0,0
"948",551,"MOTOR VEH, TAKING & STEALING PARTS c266 §28(a)",2,15,"MOTOR VEH, TAKING & STEALING PARTS","266","28(a)","Yes",0,0
"949",552,"MOTOR VEH, MALICIOUS DAMAGE TO,SUBSQ.OFF c266 §28(a)",0,3,"MOTOR VEH, MALICIOUS DAMAGE TO,SUBSQ.OFF","266","28(a)","Yes",0,0
"950",553,"MOTOR VEH, TAKING & STEALING PARTS,SUBSQ. c266 §28(a)",0,1,"MOTOR VEH, TAKING & STEALING PARTS,SUBSQ.","266","28(a)","Yes",0,0
"951",554,"MOTOR VEH, LARCENY OF/MALICIOUS DAMAGE/RECEIVE STOLEN/TAKE AND STEAL PARTS c. 266 s. 28(a)",0,1,"MOTOR VEH, LARCENY OF/MALICIOUS DAMAGE/RECEIVE STOLEN/TAKE AND STEAL PARTS","266","28(a)","Yes",0,0
"952",555,"MOTOR VEH THIEF, CONCEAL c266 §28(b)",0,16,"MOTOR VEH THIEF, CONCEAL","266","28(b)","Yes",0,0
"953",556,"LARCENY, ATTEMPTED c266 §30",0,11,"LARCENY, ATTEMPTED","266","30","",0,0
"954",557,"LARCENY OVER $250 c. 266 s. 30",0,4,"LARCENY OVER $250","266","30","",0,0
"955",558,"FIREARM, LARCENY OF c. 266 s. 30",0,1,"FIREARM, LARCENY OF","266","30","",0,0
"956",574,"SHOPLIFTING BY CONCEALING MDSE c266 §30A",494,1501,"SHOPLIFTING BY CONCEALING MDSE","266","30A","Yes",0,0
"957",575,"SHOPLIFTING BY ASPORTATION c266 §30A",449,2311,"SHOPLIFTING BY ASPORTATION","266","30A","Yes",0,0
"958",576,"SHOPLIFTING $100+ BY ASPORTATION c266 §30A",162,431,"SHOPLIFTING $100+ BY ASPORTATION","266","30A","Yes",0,0
"959",577,"SHOPLIFTING BY CONCEALING MDSE, 3RD OFF. c266 §30A",117,182,"SHOPLIFTING BY CONCEALING MDSE, 3RD OFF.","266","30A","Yes",0,0
"960",578,"SHOPLIFTING BY ASPORTATION, 3RD OFF. c266 §30A",114,207,"SHOPLIFTING BY ASPORTATION, 3RD OFF.","266","30A","Yes",0,0
"961",579,"SHOPLIFTING $100+ BY CONCEALING MDSE c266 §30A",105,324,"SHOPLIFTING $100+ BY CONCEALING MDSE","266","30A","Yes",0,0
"962",580,"SHOPLIFTING BY CONCEALING MDSE, 2ND OFF. c266 §30A",70,81,"SHOPLIFTING BY CONCEALING MDSE, 2ND OFF.","266","30A","Yes",0,0
"963",581,"SHOPLIFTING BY ASPORTATION, 2ND OFF. c266 §30A",64,119,"SHOPLIFTING BY ASPORTATION, 2ND OFF.","266","30A","Yes",0,0
"964",582,"SHOPLIFTING BY PRICE TAG TAMPERING c266 §30A",22,27,"SHOPLIFTING BY PRICE TAG TAMPERING","266","30A","Yes",0,0
"965",583,"SHOPLIFTING $250+ BY ASPORTATION c266 §30A",11,16,"SHOPLIFTING $250+ BY ASPORTATION","266","30A","Yes",0,0
"966",584,"SHOPLIFTING $250+ BY CONCEALING MDSE c266 §30A",6,20,"SHOPLIFTING $250+ BY CONCEALING MDSE","266","30A","Yes",0,0
"967",585,"SHOPLIFTING $100+ BY PRICE TAG TAMPERING c266 §30A",2,11,"SHOPLIFTING $100+ BY PRICE TAG TAMPERING","266","30A","Yes",0,0
"968",586,"SHOPLIFTING BY RECORDING FALSE VALUE c266 §30A",2,3,"SHOPLIFTING BY RECORDING FALSE VALUE","266","30A","Yes",0,0
"969",587,"SHOPLIFTING OF SHOPPING CART c266 §30A",1,3,"SHOPLIFTING OF SHOPPING CART","266","30A","Yes",0,0
"970",588,"SHOPLIFTING BY CONTAINER SWITCHING c266 §30A",1,2,"SHOPLIFTING BY CONTAINER SWITCHING","266","30A","Yes",0,0
"971",589,"SHOPLIFTING BY PRICE TAG TAMPERING, 3RD c266 §30A",1,1,"SHOPLIFTING BY PRICE TAG TAMPERING, 3RD","266","30A","Yes",0,0
"972",590,"SHOPLIFTING BY CONTAINER SWITCHING, 2ND c266 §30A",0,3,"SHOPLIFTING BY CONTAINER SWITCHING, 2ND","266","30A","Yes",0,0
"973",591,"SHOPLIFTING BY PRICE TAG TAMPERING, 2ND c266 §30A",0,2,"SHOPLIFTING BY PRICE TAG TAMPERING, 2ND","266","30A","Yes",0,0
"974",592,"SHOPLIFTING $100+ BY RECORDING FALSE VALUE c266 §30A",0,1,"SHOPLIFTING $100+ BY RECORDING FALSE VALUE","266","30A","Yes",0,0
"975",593,"SHOPLIFTING $100+ OF SHOPPING CART c266 §30A",0,1,"SHOPLIFTING $100+ OF SHOPPING CART","266","30A","Yes",0,0
"976",594,"SHOPLIFTING BY RECORDING FALSE VALUE,3RD c266 §30A",0,1,"SHOPLIFTING BY RECORDING FALSE VALUE,3RD","266","30A","Yes",0,0
"977",595,"SHOPLIFTING $250+ BY PRICE TAG TAMPERING c266 §30A",0,1,"SHOPLIFTING $250+ BY PRICE TAG TAMPERING","266","30A","Yes",0,0
"978",596,"SHOPLIFTING; OVER $100.00 c. 266 s. 30A",0,1,"SHOPLIFTING; OVER $100.00","266","30A","Yes",0,0
"979",597,"UNLAWFUL DEACTIVATION/REMOVAL THEFT PROTECTION DEVICE c266 §30B",0,2,"UNLAWFUL DEACTIVATION/REMOVAL THEFT PROTECTION DEVICE","266","30B","",0,0
"980",598,"Possession of a theft detection shielding device w/ intent to steal c266 §30B(b)",1,0,"POSSESSION OF A THEFT DETECTION SHIELDING DEVICE W/ INTENT TO STEAL","266","30B(b)","",0,0
"981",599,"Distribution of a theft device deactivator c266 §30B(c)",3,0,"DISTRIBUTION OF A THEFT DEVICE DEACTIVATOR","266","30B(c)","",0,0
"982",600,"Deactivation or removal of a theft detection w/ the intent to steal c266 §30B(e)",26,0,"DEACTIVATION OR REMOVAL OF A THEFT DETECTION W/ THE INTENT TO STEAL","266","30B(e)","",0,0
"983",601,"Forging retail receipt, prict ticket, or UPC label w/ intent to defraud c266 §30C",15,0,"FORGING RETAIL RECEIPT, PRICT TICKET, OR UPC LABEL W/ INTENT TO DEFRAUD","266","30C","",0,0
"984",602,"LARCENY BY SINGLE SCHEME, ATTEMPTED c266 §30L",0,16,"LARCENY BY SINGLE SCHEME, ATTEMPTED","266","30L","",0,0
"985",707,"Larceny over $250, Habitual Crim, c266,s30",1,0,"LARCENY OVER $250, HABITUAL CRIM,","266,","30","",0,0
"986",708,"Shoplifting, c266,s30A",1,0,"SHOPLIFTING,","266,","30A","",0,0
"987",603,"SIGNATURE, OBTAINING BY FALSE PRETENSE c266 §31",2,1,"SIGNATURE, OBTAINING BY FALSE PRETENSE","266","31","",0,0
"988",614,"ATTEMPTED LARCENY BY CHECK c266 §37",0,19,"ATTEMPTED LARCENY BY CHECK","266","37","Yes",0,0
"989",619,"CREDIT CARD, FALSE STATEMENT TO OBTAIN c266 §37B(a)",5,18,"CREDIT CARD, FALSE STATEMENT TO OBTAIN","266","37B(a)","",0,0
"990",620,"CREDIT CARD, LARCENY OF c266 §37B(b)",95,106,"CREDIT CARD, LARCENY OF","266","37B(b)","",0,0
"991",621,"CREDIT CARD, RECEIVE STOLEN c266 §37B(b)",48,228,"CREDIT CARD, RECEIVE STOLEN","266","37B(b)","",0,0
"992",622,"CREDIT CARD, RECEIVE LOST c266 §37B(c)",7,23,"CREDIT CARD, RECEIVE LOST","266","37B(c)","",0,0
"993",623,"CREDIT CARD, NON-CARDHOLDER SIGN c266 §37B(e)",2,8,"CREDIT CARD, NON-CARDHOLDER SIGN","266","37B(e)","",0,0
"994",624,"CREDIT CARD, IMPROPER USE UNDER $250  c266 §37B(f)",129,0,"CREDIT CARD, IMPROPER USE UNDER $250 ","266","37B(f)","",0,0
"995",625,"CREDIT CARD, IMPROPER USE UNDER $1200  c266 §37B(f)",3,0,"CREDIT CARD, IMPROPER USE UNDER $1200 ","266","37B(f)","",0,0
"996",626,"CREDIT CARD, IMPROPER USE UNDER $250 c266 §37B(f)",0,99,"CREDIT CARD, IMPROPER USE UNDER $250","266","37B(f)","",0,0
"997",627,"CREDIT CARD, IMPROPER USE UNDER $1200 c266 §37B(f)",0,4,"CREDIT CARD, IMPROPER USE UNDER $1200","266","37B(f)","",0,0
"998",628,"CREDIT CARD FRAUD UNDER $250 c266 §37B(g)",29,403,"CREDIT CARD FRAUD UNDER $250","266","37B(g)","",0,0
"999",629,"CREDIT CARD FRAUD UNDER $1200 c266 §37B(g)",9,12,"CREDIT CARD FRAUD UNDER $1200","266","37B(g)","",0,0
"1000",630,"CREDIT CARD, ALLOW IMPROP USE UNDER $250 c266 §37B(h)",0,11,"CREDIT CARD, ALLOW IMPROP USE UNDER $250","266","37B(h)","",0,0
"1001",631,"CREDIT CARD, ALLOW IMPROP USE UNDER $1200 c266 §37B(h)",0,2,"CREDIT CARD, ALLOW IMPROP USE UNDER $1200","266","37B(h)","",0,0
"1002",632,"CREDIT CARD FRAUD UNDER $250 BY MERCHANT c266 §37B(i)",0,4,"CREDIT CARD FRAUD UNDER $250 BY MERCHANT","266","37B(i)","",0,0
"1003",633,"CREDIT CARD FRAUD UNDER $1200 BY MERCHANT c266 §37B(i)",0,1,"CREDIT CARD FRAUD UNDER $1200 BY MERCHANT","266","37B(i)","",0,0
"1004",634,"CREDIT CARD, RECEIVE IMPROP UNDER $250 c266 §37B(j)",2,18,"CREDIT CARD, RECEIVE IMPROP UNDER $250","266","37B(j)","",0,0
"1005",635,"CREDIT CARD, FALSE REPORT OF LOST c266 §37B(k)",0,3,"CREDIT CARD, FALSE REPORT OF LOST","266","37B(k)","",0,0
"1006",636,"CREDIT CARD, RECEIVE IMPROPER c266 §37C(b)",3,15,"CREDIT CARD, RECEIVE IMPROPER","266","37C(b)","",0,0
"1007",637,"CREDIT CARD, FORGE OR UTTER FORGED c266 §37C(c)",14,149,"CREDIT CARD, FORGE OR UTTER FORGED","266","37C(c)","",0,0
"1008",638,"CREDIT CARD, IMPROPER USE OVER $250 c266 §37C(d)",51,120,"CREDIT CARD, IMPROPER USE OVER $250","266","37C(d)","",0,0
"1009",639,"CREDIT CARD, IMPROPER USE OVER $1200 c266 §37C(d)",0,3,"CREDIT CARD, IMPROPER USE OVER $1200","266","37C(d)","",0,0
"1010",640,"CREDIT CARD FRAUD OVER $250 c266 §37C(e)",47,360,"CREDIT CARD FRAUD OVER $250","266","37C(e)","",0,0
"1011",641,"CREDIT CARD FRAUD OVER $1200 c266 §37C(e)",2,8,"CREDIT CARD FRAUD OVER $1200","266","37C(e)","",0,0
"1012",642,"CREDIT CARD FRAUD OVER $250 BY MERCHANT c266 §37C(g)",0,4,"CREDIT CARD FRAUD OVER $250 BY MERCHANT","266","37C(g)","",0,0
"1013",643,"CREDIT CARD, RECEIVE IMPROP OVER $250 c266 §37C(h)",0,10,"CREDIT CARD, RECEIVE IMPROP OVER $250","266","37C(h)","",0,0
"1014",644,"CREDIT CARD, POSSESS BLANK c266 §37C(i)",0,7,"CREDIT CARD, POSSESS BLANK","266","37C(i)","",0,0
"1015",645,"CREDIT CARD, POSSESS COUNTERFEIT PRESS c266 §37C(j)",0,23,"CREDIT CARD, POSSESS COUNTERFEIT PRESS","266","37C(j)","",0,0
"1016",646,"TELEPHONE CREDIT CARD SYSTEM, PUBLISH c266 §37D",3,0,"TELEPHONE CREDIT CARD SYSTEM, PUBLISH","266","37D","",0,0
"1017",647,"IDENTITY FRAUD c266 §37E",76,541,"IDENTITY FRAUD","266","37E","",0,0
"1018",648,"DEFRAUDING, POSE AS ANOTHER W/O EXPRESS AUTHORIZATION c. 266 s. 37E",0,1,"DEFRAUDING, POSE AS ANOTHER W/O EXPRESS AUTHORIZATION","266","37E","",0,0
"1019",650,"WILL, STEAL/DESTROY/CONCEAL c266 §39",0,3,"WILL, STEAL/DESTROY/CONCEAL","266","39","",0,0
"1020",651,"THIEF, COMMON & NOTORIOUS c266 §40",30,92,"THIEF, COMMON & NOTORIOUS","266","40","",0,0
"1021",652,"THIEF, COMMON & NOTORIOUS-HABITUAL c266 §40",2,0,"THIEF, COMMON & NOTORIOUS-HABITUAL","266","40","",0,0
"1022",653,"LARCENY OVER $250, COMMON AND NOTORIOUS THIEF c266 §40",1,0,"LARCENY OVER $250, COMMON AND NOTORIOUS THIEF","266","40","",0,0
"1023",654,"BICYCLE, LARCENY OF, SUBSQ.OFF. c266 §41",0,3,"BICYCLE, LARCENY OF, SUBSQ.OFF.","266","41","",0,0
"1024",655,"BANK BILL PAPER, LARCENY OF c266 §42",0,1,"BANK BILL PAPER, LARCENY OF","266","42","",0,0
"1025",656,"BURGLARIOUS INSTRUMENT, POSSESS c266 §49",90,903,"BURGLARIOUS INSTRUMENT, POSSESS","266","49","Yes",0,0
"1026",657,"BURGLARIOUS INSTRUMENT, MAKE c266 §49",1,12,"BURGLARIOUS INSTRUMENT, MAKE","266","49","Yes",0,0
"1027",658,"MOTOR VEH MASTER KEY, POSSESS c266 §49",0,4,"MOTOR VEH MASTER KEY, POSSESS","266","49","Yes",0,0
"1028",663,"BANK, EMBEZZLEMENT FROM c266 §52",0,2,"BANK, EMBEZZLEMENT FROM","266","52","",0,0
"1029",664,"BANK OFFICER/EMPLOYEE, MISCONDUCT BY c266 §53A",1,0,"BANK OFFICER/EMPLOYEE, MISCONDUCT BY","266","53A","",0,0
"1030",665,"FIDUCIARY, EMBEZZLEMENT/MISAPPLICATN BY c266 §57",2,56,"FIDUCIARY, EMBEZZLEMENT/MISAPPLICATN BY","266","57","",0,0
"1031",670,"RECEIVE STOLEN PROPERTY +$250 c266 §60",300,2391,"RECEIVE STOLEN PROPERTY +$250","266","60","Yes",0,0
"1032",671,"RECEIVE STOLEN PROPERTY -$250 c266 §60",242,1140,"RECEIVE STOLEN PROPERTY -$250","266","60","Yes",0,0
"1033",672,"RECEIVE STOLEN PROPERTY -$1200 c266 §60",54,71,"RECEIVE STOLEN PROPERTY -$1200","266","60","Yes",0,0
"1034",673,"RECEIVE STOLEN PROPERTY +$1200 c266 §60",7,19,"RECEIVE STOLEN PROPERTY +$1200","266","60","Yes",0,0
"1035",674,"RECEIVE STOLEN PROPERTY -$250, SUBSQ.OFF c266 §60",6,97,"RECEIVE STOLEN PROPERTY -$250, SUBSQ.OFF","266","60","Yes",0,0
"1036",675,"RECEIVE STOLEN PROPERTY -$1200, SUBSQ.OFF c266 §60",2,0,"RECEIVE STOLEN PROPERTY -$1200, SUBSQ.OFF","266","60","Yes",0,0
"1037",676,"RECEIVE STOLEN PROPERTY +$250, SUBSQ OFF c266 §60",1,0,"RECEIVE STOLEN PROPERTY +$250, SUBSQ OFF","266","60","Yes",0,0
"1038",677,"RECEIVE STOLEN PROPERTY +250, SUBSQ.OFF c266 §60",0,17,"RECEIVE STOLEN PROPERTY +250, SUBSQ.OFF","266","60","Yes",0,0
"1039",678,"RECEIVE STOLEN PROPERTY -$1200, SUBSQ. OFF c266 §60",0,3,"RECEIVE STOLEN PROPERTY -$1200, SUBSQ. OFF","266","60","Yes",0,0
"1040",679,"RECEIVE STOLEN OR FALSE-TRADED PROPERTY +$250 c. 266 s. 60",0,1,"RECEIVE STOLEN OR FALSE-TRADED PROPERTY +$250","266","60","Yes",0,0
"1041",680,"RECEIVE FALSE-TRADED PROPERTY +$250 c266 §60",0,1,"RECEIVE FALSE-TRADED PROPERTY +$250","266","60","Yes",0,0
"1042",681,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN c266 §60A",0,2,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN","266","60A","",0,0
"1043",682,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN c. 266 s. 60A",0,1,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN","266","60A","",0,0
"1044",683,"RECEIVER, COMMON c266 §62",2,3,"RECEIVER, COMMON","266","62","",0,0
"1045",684,"BOAT/NON-MOTOR VEH, USE WITHOUT AUTHORITY c266 §63",0,5,"BOAT/NON-MOTOR VEH, USE WITHOUT AUTHORITY","266","63","Yes",0,0
"1046",685,"HIRING VEHICLE, FRAUD IN c266 §64",1,7,"HIRING VEHICLE, FRAUD IN","266","64","",0,0
"1047",686,"BOOKS, FALSIFY/OMIT ENTRY IN c266 §67",1,27,"BOOKS, FALSIFY/OMIT ENTRY IN","266","67","",0,0
"1048",687,"FALSE CLAIM TO GOVERNMENT AGENCY c266 §67B",0,7,"FALSE CLAIM TO GOVERNMENT AGENCY","266","67B","",0,0
"1049",689,"FALSE PRETENSE OF TRADE, OBTAIN GOODS BY c266 §73",1,1,"FALSE PRETENSE OF TRADE, OBTAIN GOODS BY","266","73","Yes",0,0
"1050",690,"FRAUD/CHEAT, GROSS c266 §76",0,8,"FRAUD/CHEAT, GROSS","266","76","Yes",0,0
"1051",691,"FRAUD/CHEAT, GROSS c. 266 s. 76",0,1,"FRAUD/CHEAT, GROSS","266","76","Yes",0,0
"1052",692,"GOLD, FRAUD IN FINENESS OF c266 §78",0,2,"GOLD, FRAUD IN FINENESS OF","266","78","",0,0
"1053",694,"LEASED PERSONALTY, SELL c266 §84",1,0,"LEASED PERSONALTY, SELL","266","84","",0,0
"1054",695,"LEASED PERSONALTY, FAIL RETURN c266 §87",7,27,"LEASED PERSONALTY, FAIL RETURN","266","87","",0,0
"1055",696,"LEASED PERSONALTY, CONCEAL/SELL/PLEDGE c266 §87",0,12,"LEASED PERSONALTY, CONCEAL/SELL/PLEDGE","266","87","",0,0
"1056",697,"CONSIGNEE/FACTOR, CONVERSION BY c266 §88",0,1,"CONSIGNEE/FACTOR, CONVERSION BY","266","88","",0,0
"1057",698,"DEGREE, FALSE CLAIM TO HOLD SCHOOL c266 §89",0,2,"DEGREE, FALSE CLAIM TO HOLD SCHOOL","266","89","",0,0
"1058",700,"FINANCIAL STATEMENT, PUBLISH FALSE c266 §92",0,1,"FINANCIAL STATEMENT, PUBLISH FALSE","266","92","",0,0
"1059",701,"BUILDING, VANDALIZE c266 §94",0,1,"BUILDING, VANDALIZE","266","94","",0,0
"1060",702,"HISTORIC MARKER/MONUMENT, VANDALIZE c266 §95",3,0,"HISTORIC MARKER/MONUMENT, VANDALIZE","266","95","",0,0
"1061",703,"STATE BUILDING, VANDALIZE c266 §96",5,15,"STATE BUILDING, VANDALIZE","266","96","",0,0
"1062",704,"CHURCH, VANDALIZE c266 §98",0,1,"CHURCH, VANDALIZE","266","98","Yes",0,0
"1063",705,"PLAYGROUND EQUIPMENT, VANDALIZE c266 §98A",0,1,"PLAYGROUND EQUIPMENT, VANDALIZE","266","98A","",0,0
"1064",706,"LIBRARY MATERIALS, FAIL RETURN c266 §99A",19,0,"LIBRARY MATERIALS, FAIL RETURN","266","99A","",0,0
"1065",421,"EXPLOSION, MALICIOUS c266 §101",0,1,"EXPLOSION, MALICIOUS","266","101","Yes",0,0
"1066",422,"EXPLOSIVES, POSSESS TO INJURE c266 §102",1,10,"EXPLOSIVES, POSSESS TO INJURE","266","102","Yes",0,0
"1067",423,"EXPLOSIVES, THROW/PLACE/EXPLODE c266 §102",0,6,"EXPLOSIVES, THROW/PLACE/EXPLODE","266","102","Yes",0,0
